ID,Area,XM,YM,Slice
1,306,220.141,453.487,2
2,352,44.514,635.276,2
3,312,842.346,875.109,2
4,601,15.983,46.131,3
5,735,441.265,57.267,3
6,389,112.652,172.559,3
7,446,671.070,395.946,3
8,625,177.977,460.524,3
9,1345,54.986,686.771,3
10,506,838.630,838.130,3
11,527,640.766,11.453,4
12,741,790.596,11.662,4
13,1849,37.336,64.470,4
14,1534,479.277,93.872,4
15,1001,235.967,105.303,4
16,732,108.525,171.049,4
17,1007,594.028,184.119,4
18,1202,764.938,190.644,4
19,1706,370.689,234.527,4
20,1414,648.851,404.984,4
21,1400,380.148,417.798,4
22,356,112.067,417.374,4
23,1326,140.199,460.608,4
24,816,869.911,563.392,4
25,1630,400.612,573.397,4
26,895,680.554,581.269,4
27,936,941.351,599.693,4
28,395,1001.708,645.391,4
29,963,683.751,666.617,4
30,3223,79.212,742.111,4
31,1003,92.021,773.317,4
32,371,1031.476,756.274,4
33,815,1042.894,799.320,4
34,979,796.179,825.370,4
35,392,1173.959,852.776,4
36,435,607.615,889.438,4
37,345,950.291,917.196,4
38,981,312.365,948.070,4
39,380,334.268,988.137,4
40,847,772.482,13.390,5
41,1545,32.492,97.752,5
42,1025,235.602,105.535,5
43,1449,487.243,139.592,5
44,1299,624.873,170.370,5
45,740,106.873,171.347,5
46,1410,768.414,184.141,5
47,2040,365.835,225.520,5
48,1430,384.891,404.919,5
49,454,65.822,425.126,5
50,1676,94.717,436.705,5
51,1221,642.482,423.075,5
52,822,866.041,556.624,5
53,1106,384.166,591.123,5
54,945,670.724,591.107,5
55,315,921.529,605.570,5
56,433,937.417,600.620,5
57,1131,671.350,668.093,5
58,304,914.260,667.378,5
59,838,1027.042,746.771,5
60,333,971.116,758.407,5
61,583,1038.672,789.958,5
62,2551,86.362,791.089,5
63,349,992.678,792.431,5
64,629,126.649,813.025,5
65,1101,781.653,821.151,5
66,314,60.551,837.586,5
67,428,1179.631,852.960,5
68,588,610.449,893.816,5
69,542,965.378,919.494,5
70,1477,322.118,973.803,5
71,1030,762.217,16.191,6
72,1024,235.335,104.834,6
73,1822,34.495,137.765,6
74,965,652.234,166.721,6
75,1982,765.261,183.795,6
76,735,106.778,171.485,6
77,1439,496.895,182.485,6
78,446,516.480,201.478,6
