ID,Area,XM,YM,Slice
1436,706,1112.324,123.085,60
1437,1385,684.323,145.075,60
1438,312,1004.933,183.837,60
1439,1656,637.226,210.663,60
1440,1102,1248.738,254.156,60
1441,689,1378.845,298.708,60
1442,697,1140.369,284.704,60
1443,1072,12.198,346.613,60
1444,1006,372.618,449.854,60
1445,404,970.233,501.785,60
1446,1043,487.171,650.272,60
1447,1617,825.259,652.939,60
1448,920,615.251,669.328,60
1449,815,705.629,719.825,60
1450,2186,127.757,751.404,60
1451,954,1374.258,750.162,60
1452,1261,706.109,792.499,60
1453,702,48.528,876.949,60
1454,1066,542.733,887.961,60
1455,2659,568.486,938.419,60
1456,944,1202.747,914.769,60
1457,707,232.609,952.059,60
1458,411,1153.342,1012.096,60
1459,619,595.435,18.868,61
1460,2246,906.756,25.124,61
1461,1715,384.874,35.196,61
1462,551,1184.709,82.162,61
1463,1250,288.968,89.831,61
1464,440,1126.861,97.107,61
1465,740,1114.114,121.499,61
1466,1186,674.717,166.287,61
1467,1522,627.719,218.867,61
1468,1164,1245.606,246.832,61
1469,745,1368.887,286.041,61
1470,558,1142.722,285.330,61
1471,1504,18.090,349.420,61
1472,1037,367.738,451.308,61
1473,384,973.708,505.711,61
1474,1778,818.197,649.573,61
1475,1585,480.539,657.307,61
1476,978,614.056,665.446,61
1477,954,701.561,717.354,61
1478,1984,118.770,750.057,61
1479,741,1376.724,754.559,61
1480,1203,710.264,798.419,61
1481,909,554.936,874.234,61
1482,831,51.768,874.111,61
1483,956,1190.783,910.205,61
1484,1612,581.861,946.721,61
1485,772,240.983,944.319,61
1486,310,1160.906,1009.113,61
1487,738,854.821,8.771,62
1488,2208,909.128,32.894,62
1489,1813,398.737,44.304,62
1490,776,1189.937,86.919,62
1491,702,1215.506,80.142,62
1492,1320,288.816,92.798,62
1493,747,1115.757,120.944,62
1494,1571,673.925,194.023,62
1495,1611,620.949,225.491,62
1496,504,1230.248,249.663,62
1497,873,1361.861,275.650,62
1498,563,1142.786,283.946,62
1499,1189,23.595,346.492,62
1500,985,365.661,455.776,62
1501,452,977.206,507.442,62
1502,1810,809.514,652.849,62
1503,1196,474.901,668.651,62
1504,840,611.035,660.054,62
1505,1007,693.909,709.907,62
1506,1835,109.734,749.661,62
1507,626,1379.257,761.746,62
1508,1266,711.012,802.746,62
1509,966,558.058,866.512,62
1510,793,51.588,879.365,62
1511,904,1180.458,898.935,62
