id,from,to,from_frame,to_frame
319,293,316,16,17
320,270,293,15,16
321,246,270,14,15
322,225,246,13,14
323,535,555,28,29
324,515,535,27,28
325,495,515,26,27
326,474,495,25,26
327,451,474,24,25
328,429,451,23,24
329,406,429,22,23
330,385,406,21,22
331,367,385,20,21
332,346,367,19,20
333,331,346,18,19
334,311,331,17,18
335,288,311,16,17
336,267,288,15,16
337,643,666,33,34
338,620,643,32,33
339,601,620,31,32
340,579,601,30,31
341,558,579,29,30
342,537,558,28,29
343,517,537,27,28
344,496,517,26,27
345,475,496,25,26
346,452,475,24,25
347,432,452,23,24
348,409,432,22,23
349,388,409,21,22
350,372,388,20,21
351,353,372,19,20
352,336,353,18,19
353,319,336,17,18
354,297,319,16,17
355,274,297,15,16
356,745,770,38,39
357,720,745,37,38
358,700,720,36,37
359,677,700,35,36
360,656,677,34,35
361,635,656,33,34
362,614,635,32,33
363,594,614,31,32
364,572,594,30,31
365,552,572,29,30
366,532,552,28,29
367,512,532,27,28
368,491,512,26,27
369,471,491,25,26
370,447,471,24,25
371,425,447,23,24
372,403,425,22,23
373,384,403,21,22
374,365,384,20,21
375,345,365,19,20
376,329,345,18,19
377,310,329,17,18
378,289,310,16,17
379,349,370,19,20
380,333,349,18,19
381,314,333,17,18
382,292,314,16,17
383,463,483,25,26
384,441,463,24,25
385,417,441,23,24
386,397,417,22,23
387,378,397,21,22
388,359,378,20,21
389,340,359,19,20
390,323,340,18,19
391,407,430,22,23
392,387,407,21,22
393,369,387,20,21
394,348,369,19,20
395,330,348,18,19
396,479,500,26,27
397,459,479,25,26
398,438,459,24,25
399,415,438,23,24
400,394,415,22,23
401,376,394,21,22
402,356,376,20,21
403,338,356,19,20
404,518,539,27,28
405,498,518,26,27
406,477,498,25,26
407,457,477,24,25
408,435,457,23,24
409,413,435,22,23
410,393,413,21,22
411,375,393,20,21
412,355,375,19,20
413,468,489,25,26
414,444,468,24,25
415,421,444,23,24
416,400,421,22,23
417,381,400,21,22
418,362,381,20,21
419,1542,1566,72,73
420,1517,1542,71,72
421,1495,1517,70,71
422,1467,1495,69,70
423,1441,1467,68,69
424,1415,1441,67,68
425,1395,1415,66,67
426,1371,1395,65,66
427,1352,1371,64,65
428,1332,1352,63,64
429,1309,1332,62,63
430,1290,1309,61,62
431,1273,1290,60,61
432,1255,1273,59,60
433,1229,1255,58,59
434,1208,1229,57,58
435,1186,1208,56,57
436,1161,1186,55,56
437,1137,1161,54,55
438,1112,1137,53,54
439,1085,1112,52,53
440,1060,1085,51,52
441,1033,1060,50,51
442,1003,1033,49,50
443,973,1003,48,49
444,949,973,47,48
445,925,949,46,47
446,902,925,45,46
447,877,902,44,45
448,849,877,43,44
449,823,849,42,43
450,803,823,41,42
451,783,803,40,41
452,757,783,39,40
453,733,757,38,39
454,710,733,37,38
455,690,710,36,37
456,669,690,35,36
457,650,669,34,35
458,626,650,33,34
459,606,626,32,33
460,584,606,31,32
461,561,584,30,31
462,543,561,29,30
463,523,543,28,29
464,505,523,27,28
465,482,505,26,27
466,462,482,25,26
467,440,462,24,25
468,516,536,27,28
469,497,516,26,27
470,476,497,25,26
471,453,476,24,25
472,603,623,32,33
473,582,603,31,32
474,560,582,30,31
475,540,560,29,30
476,521,540,28,29
477,503,521,27,28
478,480,503,26,27
479,460,480,25,26
480,611,632,32,33
481,589,611,31,32
482,568,589,30,31
483,549,568,29,30
484,528,549,28,29
485,508,528,27,28
486,486,508,26,27
487,466,486,25,26
488,593,613,31,32
489,571,593,30,31
490,551,571,29,30
491,530,551,28,29
492,510,530,27,28
493,488,510,26,27
494,467,488,25,26
495,1556,1581,72,73
496,1532,1556,71,72
497,1508,1532,70,71
498,1481,1508,69,70
499,1455,1481,68,69
500,1432,1455,67,68
501,1408,1432,66,67
502,1387,1408,65,66
503,1365,1387,64,65
504,1346,1365,63,64
505,1326,1346,62,63
506,1305,1326,61,62
507,1287,1305,60,61
508,1267,1287,59,60
509,1247,1267,58,59
510,1221,1247,57,58
511,1198,1221,56,57
512,1175,1198,55,56
513,1152,1175,54,55
514,1128,1152,53,54
515,1102,1128,52,53
516,1077,1102,51,52
517,1051,1077,50,51
518,1024,1051,49,50
519,988,1024,48,49
520,963,988,47,48
521,940,963,46,47
522,916,940,45,46
523,894,916,44,45
524,868,894,43,44
525,841,868,42,43
526,819,841,41,42
527,798,819,40,41
528,777,798,39,40
529,750,777,38,39
530,725,750,37,38
531,705,725,36,37
532,682,705,35,36
533,660,682,34,35
534,639,660,33,34
535,618,639,32,33
536,599,618,31,32
537,578,599,30,31
538,559,578,29,30
539,538,559,28,29
540,665,686,34,35
541,641,665,33,34
542,619,641,32,33
543,600,619,31,32
544,577,600,30,31
545,557,577,29,30
546,1499,1523,70,71
547,1470,1499,69,70
548,1445,1470,68,69
549,1421,1445,67,68
550,1399,1421,66,67
551,1376,1399,65,66
552,1356,1376,64,65
553,1336,1356,63,64
554,1316,1336,62,63
555,1296,1316,61,62
556,1278,1296,60,61
557,1259,1278,59,60
558,1236,1259,58,59
559,1213,1236,57,58
560,1191,1213,56,57
561,1166,1191,55,56
562,1141,1166,54,55
563,1118,1141,53,54
564,1091,1118,52,53
565,1067,1091,51,52
566,1039,1067,50,51
567,1011,1039,49,50
568,979,1011,48,49
569,954,979,47,48
570,932,954,46,47
571,908,932,45,46
572,883,908,44,45
573,856,883,43,44
574,830,856,42,43
575,808,830,41,42
576,789,808,40,41
577,767,789,39,40
578,742,767,38,39
579,717,742,37,38
580,695,717,36,37
581,673,695,35,36
582,653,673,34,35
583,631,653,33,34
584,610,631,32,33
585,590,610,31,32
586,569,590,30,31
587,778,799,39,40
588,751,778,38,39
589,726,751,37,38
590,706,726,36,37
591,683,706,35,36
592,661,683,34,35
593,640,661,33,34
594,617,640,32,33
595,596,617,31,32
596,714,738,37,38
597,692,714,36,37
598,670,692,35,36
599,649,670,34,35
600,624,649,33,34
601,722,747,37,38
602,702,722,36,37
603,679,702,35,36
604,658,679,34,35
605,636,658,33,34
606,1561,1585,72,73
607,1537,1561,71,72
608,1512,1537,70,71
609,1487,1512,69,70
610,1461,1487,68,69
611,1436,1461,67,68
612,1411,1436,66,67
613,1391,1411,65,66
614,1367,1391,64,65
615,1349,1367,63,64
616,1329,1349,62,63
617,1307,1329,61,62
618,1288,1307,60,61
619,1268,1288,59,60
620,1249,1268,58,59
621,1222,1249,57,58
622,1200,1222,56,57
623,1176,1200,55,56
624,1151,1176,54,55
625,1126,1151,53,54
626,1100,1126,52,53
627,1072,1100,51,52
628,1049,1072,50,51
629,1022,1049,49,50
630,986,1022,48,49
631,961,986,47,48
632,937,961,46,47
633,913,937,45,46
634,891,913,44,45
635,865,891,43,44
636,839,865,42,43
637,816,839,41,42
638,796,816,40,41
639,775,796,39,40
640,749,775,38,39
641,724,749,37,38
642,704,724,36,37
643,681,704,35,36
644,768,788,39,40
645,741,768,38,39
646,715,741,37,38
647,694,715,36,37
648,794,813,40,41
649,773,794,39,40
650,746,773,38,39
651,721,746,37,38
652,701,721,36,37
653,970,997,48,49
654,946,970,47,48
655,922,946,46,47
656,899,922,45,46
657,873,899,44,45
658,846,873,43,44
659,822,846,42,43
660,802,822,41,42
661,782,802,40,41
662,755,782,39,40
663,731,755,38,39
664,904,926,45,46
665,879,904,44,45
666,851,879,43,44
667,827,851,42,43
668,807,827,41,42
669,787,807,40,41
670,763,787,39,40
671,736,763,38,39
672,1035,1062,50,51
673,1007,1035,49,50
674,976,1007,48,49
675,951,976,47,48
676,927,951,46,47
677,903,927,45,46
678,878,903,44,45
679,850,878,43,44
680,826,850,42,43
681,805,826,41,42
682,785,805,40,41
683,759,785,39,40
684,832,858,42,43
685,809,832,41,42
686,790,809,40,41
687,769,790,39,40
688,1149,1174,54,55
689,1125,1149,53,54
690,1099,1125,52,53
691,1074,1099,51,52
692,1046,1074,50,51
693,1020,1046,49,50
694,984,1020,48,49
695,959,984,47,48
696,934,959,46,47
697,911,934,45,46
698,889,911,44,45
699,863,889,43,44
700,833,863,42,43
701,810,833,41,42
702,792,810,40,41
703,771,792,39,40
704,872,898,44,45
705,845,872,43,44
706,821,845,42,43
707,801,821,41,42
708,780,801,40,41
709,977,1010,48,49
710,952,977,47,48
711,928,952,46,47
712,905,928,45,46
713,880,905,44,45
714,852,880,43,44
715,828,852,42,43
716,806,828,41,42
717,786,806,40,41
718,1250,1269,58,59
719,1223,1250,57,58
720,1201,1223,56,57
721,1178,1201,55,56
722,1153,1178,54,55
723,1127,1153,53,54
724,1101,1127,52,53
725,1076,1101,51,52
726,1047,1076,50,51
727,1021,1047,49,50
728,985,1021,48,49
729,960,985,47,48
730,935,960,46,47
731,912,935,45,46
732,890,912,44,45
733,862,890,43,44
734,836,862,42,43
735,812,836,41,42
736,1123,1148,53,54
737,1098,1123,52,53
738,1075,1098,51,52
739,1050,1075,50,51
740,1023,1050,49,50
741,987,1023,48,49
742,962,987,47,48
743,939,962,46,47
744,915,939,45,46
745,893,915,44,45
746,867,893,43,44
747,840,867,42,43
748,817,840,41,42
749,1052,1080,50,51
750,1026,1052,49,50
751,990,1026,48,49
752,965,990,47,48
753,943,965,46,47
754,919,943,45,46
755,896,919,44,45
756,870,896,43,44
757,844,870,42,43
758,820,844,41,42
759,1546,1570,72,73
760,1521,1546,71,72
761,1498,1521,70,71
762,1469,1498,69,70
763,1444,1469,68,69
764,1418,1444,67,68
765,1398,1418,66,67
766,1374,1398,65,66
767,1354,1374,64,65
768,1334,1354,63,64
769,1313,1334,62,63
770,1293,1313,61,62
771,1274,1293,60,61
772,1256,1274,59,60
773,1232,1256,58,59
774,1209,1232,57,58
775,1187,1209,56,57
776,1162,1187,55,56
777,1138,1162,54,55
778,1113,1138,53,54
779,1089,1113,52,53
780,1065,1089,51,52
781,1037,1065,50,51
782,1009,1037,49,50
783,978,1009,48,49
784,953,978,47,48
785,930,953,46,47
786,906,930,45,46
787,881,906,44,45
788,855,881,43,44
789,831,855,42,43
790,981,1015,48,49
791,956,981,47,48
792,933,956,46,47
793,910,933,45,46
794,888,910,44,45
795,861,888,43,44
796,835,861,42,43
797,964,991,47,48
798,942,964,46,47
799,918,942,45,46
800,895,918,44,45
801,869,895,43,44
802,843,869,42,43
803,1258,1277,59,60
804,1235,1258,58,59
805,1212,1235,57,58
806,1190,1212,56,57
807,1165,1190,55,56
808,1140,1165,54,55
809,1116,1140,53,54
810,1090,1116,52,53
811,1066,1090,51,52
812,1040,1066,50,51
813,1013,1040,49,50
814,980,1013,48,49
815,955,980,47,48
816,931,955,46,47
817,909,931,45,46
818,887,909,44,45
819,857,887,43,44
820,1272,1292,60,61
821,1254,1272,59,60
822,1228,1254,58,59
823,1207,1228,57,58
824,1184,1207,56,57
825,1159,1184,55,56
826,1135,1159,54,55
827,1109,1135,53,54
828,1084,1109,52,53
829,1059,1084,51,52
830,1031,1059,50,51
831,1001,1031,49,50
832,974,1001,48,49
833,950,974,47,48
834,923,950,46,47
835,900,923,45,46
836,874,900,44,45
837,1543,1567,72,73
838,1518,1543,71,72
839,1496,1518,70,71
840,1468,1496,69,70
841,1442,1468,68,69
842,1416,1442,67,68
843,1396,1416,66,67
844,1372,1396,65,66
845,1353,1372,64,65
846,1333,1353,63,64
847,1310,1333,62,63
848,1291,1310,61,62
849,1271,1291,60,61
850,1253,1271,59,60
851,1226,1253,58,59
852,1206,1226,57,58
853,1182,1206,56,57
854,1158,1182,55,56
855,1134,1158,54,55
856,1108,1134,53,54
857,1083,1108,52,53
858,1056,1083,51,52
859,1029,1056,50,51
860,998,1029,49,50
861,971,998,48,49
862,948,971,47,48
863,924,948,46,47
864,901,924,45,46
865,875,901,44,45
866,1045,1071,50,51
867,1018,1045,49,50
868,983,1018,48,49
869,958,983,47,48
870,936,958,46,47
871,1027,1054,50,51
872,994,1027,49,50
873,968,994,48,49
874,944,968,47,48
875,1227,1252,58,59
876,1205,1227,57,58
877,1183,1205,56,57
878,1157,1183,55,56
879,1133,1157,54,55
880,1107,1133,53,54
881,1082,1107,52,53
882,1057,1082,51,52
883,1030,1057,50,51
884,999,1030,49,50
885,972,999,48,49
886,947,972,47,48
887,1516,1541,71,72
888,1493,1516,70,71
889,1465,1493,69,70
890,1440,1465,68,69
891,1414,1440,67,68
892,1394,1414,66,67
893,1370,1394,65,66
894,1351,1370,64,65
895,1331,1351,63,64
896,1308,1331,62,63
897,1289,1308,61,62
898,1270,1289,60,61
899,1251,1270,59,60
900,1225,1251,58,59
901,1204,1225,57,58
902,1181,1204,56,57
903,1156,1181,55,56
904,1132,1156,54,55
905,1106,1132,53,54
906,1081,1106,52,53
907,1055,1081,51,52
908,1028,1055,50,51
909,995,1028,49,50
910,969,995,48,49
911,1211,1234,57,58
912,1189,1211,56,57
913,1164,1189,55,56
914,1139,1164,54,55
915,1115,1139,53,54
916,1088,1115,52,53
917,1063,1088,51,52
918,1036,1063,50,51
919,1008,1036,49,50
920,1429,1453,67,68
921,1404,1429,66,67
922,1382,1404,65,66
923,1361,1382,64,65
924,1343,1361,63,64
925,1323,1343,62,63
926,1301,1323,61,62
927,1282,1301,60,61
928,1262,1282,59,60
929,1240,1262,58,59
930,1215,1240,57,58
931,1192,1215,56,57
932,1168,1192,55,56
933,1143,1168,54,55
934,1119,1143,53,54
935,1092,1119,52,53
936,1068,1092,51,52
937,1042,1068,50,51
938,1014,1042,49,50
939,1124,1150,53,54
940,1097,1124,52,53
941,1073,1097,51,52
942,1044,1073,50,51
943,1160,1185,55,56
944,1136,1160,54,55
945,1111,1136,53,54
946,1086,1111,52,53
947,1061,1086,51,52
948,1551,1576,72,73
949,1527,1551,71,72
950,1503,1527,70,71
951,1474,1503,69,70
952,1450,1474,68,69
953,1427,1450,67,68
954,1403,1427,66,67
955,1381,1403,65,66
956,1360,1381,64,65
957,1341,1360,63,64
958,1322,1341,62,63
959,1300,1322,61,62
960,1281,1300,60,61
961,1261,1281,59,60
962,1239,1261,58,59
963,1217,1239,57,58
964,1193,1217,56,57
965,1169,1193,55,56
966,1147,1169,54,55
967,1121,1147,53,54
968,1094,1121,52,53
969,1070,1094,51,52
970,1202,1224,56,57
971,1180,1202,55,56
972,1155,1180,54,55
973,1129,1155,53,54
974,1103,1129,52,53
975,1079,1103,51,52
976,1363,1384,64,65
977,1344,1363,63,64
978,1324,1344,62,63
979,1302,1324,61,62
980,1283,1302,60,61
981,1263,1283,59,60
982,1241,1263,58,59
983,1216,1241,57,58
984,1194,1216,56,57
985,1170,1194,55,56
986,1146,1170,54,55
987,1122,1146,53,54
988,1095,1122,52,53
989,1233,1257,58,59
990,1210,1233,57,58
991,1188,1210,56,57
992,1163,1188,55,56
993,1327,1347,62,63
994,1306,1327,61,62
995,1286,1306,60,61
996,1266,1286,59,60
997,1246,1266,58,59
998,1218,1246,57,58
999,1196,1218,56,57
1000,1172,1196,55,56
1001,1534,1559,71,72
1002,1510,1534,70,71
1003,1482,1510,69,70
1004,1456,1482,68,69
1005,1433,1456,67,68
1006,1407,1433,66,67
1007,1386,1407,65,66
1008,1364,1386,64,65
1009,1345,1364,63,64
1010,1325,1345,62,63
1011,1303,1325,61,62
1012,1284,1303,60,61
1013,1264,1284,59,60
1014,1243,1264,58,59
1015,1220,1243,57,58
1016,1197,1220,56,57
1017,1173,1197,55,56
1018,1385,1406,65,66
1019,1362,1385,64,65
1020,1342,1362,63,64
1021,1321,1342,62,63
1022,1299,1321,61,62
1023,1280,1299,60,61
1024,1260,1280,59,60
1025,1237,1260,58,59
1026,1214,1237,57,58
1027,1335,1355,63,64
1028,1315,1335,62,63
1029,1295,1315,61,62
1030,1275,1295,60,61
1031,1557,1582,72,73
1032,1531,1557,71,72
1033,1507,1531,70,71
1034,1478,1507,69,70
1035,1451,1478,68,69
1036,1426,1451,67,68
1037,1401,1426,66,67
1038,1378,1401,65,66
1039,1357,1378,64,65
1040,1338,1357,63,64
1041,1318,1338,62,63
1042,1297,1318,61,62
1043,1276,1297,60,61
1044,1340,1359,63,64
1045,1320,1340,62,63
1046,1298,1320,61,62
1047,1279,1298,60,61
1048,1402,1425,66,67
1049,1380,1402,65,66
1050,1358,1380,64,65
1051,1339,1358,63,64
1052,1319,1339,62,63
1053,1511,1536,70,71
1054,1484,1511,69,70
1055,1460,1484,68,69
1056,1435,1460,67,68
1057,1410,1435,66,67
1058,1390,1410,65,66
1059,1366,1390,64,65
1060,1348,1366,63,64
1061,1328,1348,62,63
1062,1490,1515,70,71
1063,1464,1490,69,70
1064,1438,1464,68,69
1065,1413,1438,67,68
1066,1393,1413,66,67
1067,1369,1393,65,66
1068,1350,1369,64,65
1069,1330,1350,63,64
1070,1562,1587,72,73
1071,1538,1562,71,72
1072,1513,1538,70,71
1073,1488,1513,69,70
1074,1462,1488,68,69
1075,1437,1462,67,68
1076,1412,1437,66,67
1077,1392,1412,65,66
1078,1368,1392,64,65
1079,1459,1485,68,69
1080,1434,1459,67,68
1081,1409,1434,66,67
1082,1388,1409,65,66
1083,1549,1573,72,73
1084,1525,1549,71,72
1085,1500,1525,70,71
1086,1471,1500,69,70
1087,1446,1471,68,69
1088,1422,1446,67,68
1089,1554,1580,72,73
1090,1530,1554,71,72
1091,1506,1530,70,71
1092,1479,1506,69,70
1093,1452,1479,68,69
1094,1428,1452,67,68
1095,1558,1583,72,73
1096,1533,1558,71,72
1097,1509,1533,70,71
1098,1480,1509,69,70
1099,1454,1480,68,69
1100,1430,1454,67,68
1101,1563,1588,72,73
1102,1539,1563,71,72
1103,1514,1539,70,71
1104,1489,1514,69,70
1105,1463,1489,68,69
1106,1552,1575,72,73
1107,1529,1552,71,72
1108,1505,1529,70,71
1109,1477,1505,69,70
