ID,Area,XM,YM,Slice
9434,2995,450.589,720.162,93
9435,2126,335.106,720.693,93
9436,5514,141.131,728.101,93
9437,3022,531.094,739.743,93
9438,1113,395.531,748.587,93
9439,2741,813.664,756.277,93
9440,2201,949.7,783.683,93
9441,2291,1039.006,792.994,93
9442,4863,214.77,805.15,93
9443,2236,1148.45,804.092,93
9444,2363,431.148,809.238,93
9445,3168,353.536,828.24,93
9446,2033,57.373,819.651,93
9447,2055,647.87,847.353,93
9448,3802,493.897,859.609,93
9449,1493,994.887,838.373,93
9450,2966,124.917,867.307,93
9451,1971,223.143,868.249,93
9452,3290,791.494,895.307,93
9453,2835,925.965,898.771,93
9454,3247,1176.965,894.165,93
9455,2825,1308.997,903.532,93
9456,2074,1057.066,926.119,93
9457,2504,995.481,935.519,93
9458,3384,165.851,935.104,93
9459,3802,37.966,951.549,93
9460,1869,357.936,965.402,93
9461,2743,570.932,989.392,93
9462,2340,802.939,975.946,93
9463,1406,1359.47,977.28,93
9464,2896,751.761,1003.627,93
9465,2365,650.346,988.65,93
9466,2739,1125.79,1003.026,93
9467,3303,914.687,1007.307,93
9468,3784,73.385,1010.027,93
9469,2104,230.102,1018.574,93
9470,1971,1023.929,1020.796,93
9471,1628,1364.575,1014.422,93
9472,3427,1229.253,1018.881,93
9473,1386,302.008,1024.641,93
9474,1455,433.423,1026.337,93
9475,5284,302.079,36.767,94
9476,826,427.902,9.691,94
9477,3304,1207.887,30.482,94
9478,1366,1322.967,12.526,94
9479,2194,1046.206,34.485,94
9480,2430,480.507,51.108,94
9481,1524,912.434,52.054,94
9482,2026,18.463,68.217,94
9483,2125,184.995,67.324,94
9484,3322,368.006,87.703,94
9485,1506,1119.126,78.017,94
9486,1503,1308.309,80.542,94
9487,1001,1379.199,107.068,94
9488,2257,501.421,109.855,94
9489,2537,1014.71,135.332,94
9490,2777,31.746,139.464,94
9491,4189,550.288,158.14,94
9492,1807,1168.877,128.051,94
9493,3186,239.232,153.563,94
9494,1482,950.505,149.745,94
9495,3415,117.132,163.744,94
9496,4947,384.521,163.707,94
9497,901,667.65,176.274,94
9498,2511,869.705,197.885,94
9499,2767,602.818,211.554,94
9500,1793,1154.799,216.508,94
9501,2587,435.715,219.25,94
9502,2349,1047.03,224.7,94
9503,1627,939.853,223.345,94
9504,5855,74.004,259.036,94
9505,1925,355.988,257.055,94
9506,2493,529.651,285.541,94
9507,2393,704.421,291.525,94
9508,1836,296.9,303.77,94
9509,3805,415.621,320.199,94
9510,2107,894.092,316.592,94
9511,4187,965.318,332.003,94
9512,4000,1138.46,329.069,94
9513,2541,477.662,352.333,94
9514,643,7.987,362.794,94
9515,3425,787.892,399.664,94
9516,1936,112.494,374.972,94
9517,2570,348.396,392.593,94
9518,1926,730.445,393.62,94
9519,2356,885.578,397.54,94
9520,3032,585.603,413.019,94
9521,2534,417.891,424.507,94
9522,2663,1345.422,431.628,94
9523,9658,167.958,473.425,94
9524,2534,65.981,457.38,94
9525,3792,582.489,477.354,94
9526,1749,866.197,471.315,94
9527,5420,370.243,532.635,94
9528,1837,1287.04,495.104,94
9529,615,7.542,497.411,94
9530,1896,965.847,519.498,94
9531,1932,904.785,533.423,94
9532,1986,784.068,531.386,94
9533,1748,1221.47,557.314,94
9534,3745,447.799,569.669,94
9535,3286,1021.582,581.188,94
9536,2892,128.035,606.594,94
9537,4281,36.194,634.564,94
9538,2256,1115.882,616.131,94
9539,2109,201.074,615.327,94
9540,2238,359.937,626.638,94
9541,3655,1253.362,658.637,94
9542,2193,1201.598,635.548,94
9543,2544,946.774,637.602,94
9544,2715,445.013,637.557,94
9545,2922,601.112,652.041,94
9546,1096,1013.67,633.118,94
9547,2088,106.778,663.018,94
9548,2296,813.25,665.608,94
9549,2430,235.423,659.419,94
9550,4294,1115.431,718.787,94
9551,3134,994.67,708.616,94
9552,2413,900.866,711.098,94
9553,2129,345.247,717.88,94
9554,2805,453.239,718.929,94
9555,5816,146.001,724.97,94
9556,2886,534.574,738.126,94
