ID,Area,XM,YM,Slice
1,352,930.432,321.045,1
2,369,405.963,291.131,2
3,605,927.713,325.404,2
4,365,138.697,354.905,2
5,540,1062.933,29.806,3
6,668,153.033,47.666,3
7,646,454.302,292.926,3
8,764,925.548,324.564,3
9,551,847.714,377.667,3
10,629,123.182,411.481,3
11,850,88.842,1004.879,3
12,1787,137.094,18.230,4
13,1374,965.867,23.488,4
14,528,1137.085,84.248,4
15,562,208.187,186.351,4
16,608,938.637,234.525,4
17,772,495.174,281.909,4
18,455,796.452,280.447,4
19,776,915.325,321.621,4
20,368,894.636,331.337,4
21,637,941.790,343.319,4
22,1680,233.622,366.047,4
23,932,845.481,378.832,4
24,873,88.089,447.222,4
25,735,211.910,468.265,4
26,1448,927.577,568.552,4
27,434,1320.599,616.189,4
28,713,738.730,653.660,4
29,625,807.695,701.658,4
30,987,1259.613,807.936,4
31,472,1296.860,880.862,4
32,417,749.373,885.488,4
33,760,120.330,918.183,4
34,698,144.781,1029.857,4
35,318,734.522,1029.173,4
36,956,1162.144,94.546,5
37,587,208.951,187.173,5
38,475,958.100,231.900,5
39,341,395.629,228.180,5
40,805,533.789,287.175,5
41,677,791.894,287.782,5
42,787,894.152,331.426,5
43,572,980.009,342.610,5
44,2186,230.409,359.272,5
45,996,844.641,380.725,5
46,1092,95.266,469.492,5
47,1036,217.213,477.736,5
48,408,1171.135,520.792,5
49,1530,927.719,568.095,5
50,575,676.723,556.749,5
51,329,1298.886,599.798,5
52,1069,710.868,643.464,5
53,1115,802.904,722.025,5
54,1190,1259.905,808.012,5
55,647,825.614,809.662,5
56,510,1275.073,895.320,5
57,535,740.010,900.507,5
58,858,89.001,949.056,5
59,978,1371.335,952.133,5
60,1004,760.820,1023.243,5
61,507,1381.011,1024.749,5
62,1098,1166.854,109.447,6
63,1500,1235.569,139.445,6
64,592,210.172,186.753,6
65,515,952.259,232.681,6
66,323,392.562,228.500,6
67,776,785.996,290.711,6
68,1217,548.814,315.087,6
69,1661,223.373,334.616,6
70,725,891.143,338.077,6
71,366,1036.016,373.615,6
72,609,1018.224,366.549,6
73,1004,844.963,380.816,6
74,1562,108.231,476.230,6
75,1118,226.479,480.053,6
76,356,1166.213,513.427,6
77,1341,674.270,560.782,6
78,1573,928.347,568.152,6
79,451,1277.924,598.835,6
80,776,689.430,644.262,6
81,1018,793.927,730.917,6
82,630,836.454,797.830,6
83,1118,1260.061,808.081,6
84,541,1248.962,909.112,6
85,1128,743.377,912.586,6
86,925,58.713,963.359,6
87,479,1374.320,962.275,6
88,796,760.724,1028.258,6
89,895,1183.004,98.567,7
90,1049,1252.531,171.782,7
91,613,211.971,186.474,7
92,853,940.100,227.917,7
93,778,775.487,295.473,7
94,1712,216.548,311.111,7
95,1614,546.903,330.405,7
96,797,1047.393,359.406,7
97,885,880.745,352.918,7
98,418,1024.691,365.471,7
99,1060,844.177,386.556,7
100,1404,224.831,477.241,7
101,483,1170.633,499.761,7
102,941,97.101,533.116,7
103,1648,928.524,568.527,7
104,1144,684.660,563.764,7
105,470,1262.049,592.274,7
106,1178,669.542,641.740,7
107,971,784.521,733.269,7
108,735,1162.986,783.793,7
109,653,834.400,790.177,7
110,1292,1259.664,809.972,7
111,678,1221.066,927.205,7
112,1094,736.481,924.560,7
113,860,24.438,977.003,7
114,591,1367.779,975.830,7
115,1041,779.613,1027.821,7
116,515,1183.780,111.537,8
117,1450,1275.774,189.790,8
118,598,209.691,186.875,8
119,862,962.472,241.159,8
120,2232,207.595,294.465,8
121,799,762.779,297.347,8
122,1664,551.441,324.477,8
123,1198,1043.134,338.583,8
124,780,876.251,353.992,8
125,1034,843.186,384.840,8
126,964,222.670,464.969,8
127,546,1167.381,493.551,8
128,1198,76.598,559.656,8
129,1638,928.216,568.719,8
130,729,692.525,564.586,8
131,514,1241.014,594.076,8
132,1001,633.413,646.960,8
133,1028,773.981,736.819,8
134,1534,837.872,785.589,8
135,605,1149.900,785.024,8
136,1079,1259.649,807.945,8
137,833,1183.897,894.001,8
138,797,724.548,934.713,8
139,533,1359.733,991.528,8
140,1720,779.256,1013.013,8
141,746,1178.653,97.418,9
142,905,1312.553,193.554,9
143,571,207.176,187.383,9
144,368,392.429,228.060,9
145,876,967.531,242.989,9
146,2610,212.861,272.921,9
147,1268,544.023,294.292,9
148,894,751.850,300.617,9
149,945,1039.069,335.183,9
150,745,873.074,368.805,9
151,1086,842.601,399.982,9
152,1016,217.341,470.185,9
153,381,1162.841,484.056,9
154,1622,927.216,568.761,9
155,712,694.472,560.785,9
156,850,42.665,594.748,9
157,568,1220.202,593.519,9
158,1121,609.701,650.258,9
159,1275,762.859,748.887,9
160,1403,831.541,779.087,9
161,381,1141.760,782.807,9
162,1012,1259.206,808.052,9
163,1168,1184.441,850.743,9
164,1047,720.000,942.284,9
165,1257,787.240,999.842,9
166,469,761.233,1012.700,9
167,751,1361.776,1014.005,9
168,1636,1180.391,86.876,10
169,505,1331.320,204.171,10
170,949,1360.440,196.240,10
171,593,205.709,187.702,10
172,623,220.709,211.835,10
173,349,392.875,228.122,10
174,1945,216.744,245.381,10
175,1674,970.909,252.676,10
176,1566,537.345,262.312,10
177,778,748.595,305.703,10
178,1095,1036.647,342.877,10
179,1039,877.571,380.619,10
180,1133,839.696,411.731,10
181,1158,223.993,480.581,10
182,354,1157.706,480.023,10
183,1623,927.416,569.307,10
184,753,696.314,558.649,10
185,745,1197.352,583.511,10
186,959,590.961,651.760,10
187,1382,821.719,776.524,10
188,1280,752.489,762.052,10
189,1388,1259.932,810.004,10
190,1461,1181.024,849.346,10
191,1040,723.148,943.804,10
192,1206,781.300,998.230,10
193,382,754.398,1011.000,10
194,432,1356.627,1027.812,10
195,1108,1180.403,70.909,11
196,649,11.109,169.466,11
197,753,209.978,173.760,11
198,2793,208.289,207.689,11
199,902,1379.016,231.683,11
200,1248,552.412,233.672,11
201,347,1347.696,243.036,11
202,1326,984.141,267.796,11
203,1106,746.417,310.264,11
204,1259,1035.853,335.411,11
