ID,Area,XM,YM,Slice
231,326,654.914,547.500,14
232,728,1333.641,559.997,14
233,301,797.221,570.487,14
234,500,623.124,566.418,14
235,541,1033.110,602.938,14
236,678,1098.010,606.870,14
237,479,1150.571,609.168,14
238,722,754.206,721.691,14
239,373,1041.634,788.768,14
240,892,414.232,998.272,14
241,387,452.058,123.071,15
242,793,441.513,141.639,15
243,599,1058.862,126.144,15
244,386,480.417,130.785,15
245,442,1036.276,154.647,15
246,313,808.979,177.532,15
247,393,907.314,422.235,15
248,915,578.196,484.973,15
249,352,1220.690,471.332,15
250,934,1321.692,516.268,15
251,395,1378.677,491.563,15
252,856,649.498,531.589,15
253,316,681.358,526.478,15
254,641,1346.216,534.829,15
255,319,1089.064,554.745,15
256,374,797.644,574.003,15
257,495,1121.920,575.346,15
258,1598,1063.135,629.039,15
259,417,796.606,673.083,15
260,598,774.017,712.410,15
261,407,1086.271,727.264,15
262,339,387.748,1022.211,15
263,572,1061.302,115.675,16
264,529,454.250,122.441,16
265,782,444.719,143.147,16
266,400,480.930,138.520,16
267,395,1041.285,144.685,16
268,616,880.748,174.390,16
269,742,846.414,191.830,16
270,581,599.285,460.283,16
271,305,1343.880,450.877,16
272,561,1177.780,482.379,16
273,833,1138.909,503.319,16
274,768,674.113,498.198,16
275,851,1348.285,485.967,16
276,433,699.576,490.394,16
277,549,1066.476,623.418,16
278,431,1083.465,659.071,16
279,699,780.725,701.775,16
280,313,1247.791,836.161,16
281,389,191.335,28.438,17
282,495,1046.456,127.373,17
283,758,456.542,130.314,17
284,318,418.865,132.299,17
285,318,491.189,125.170,17
286,693,901.183,146.591,17
287,412,871.498,167.051,17
288,353,1382.092,425.775,17
289,562,601.014,439.443,17
290,887,696.143,470.413,17
291,322,726.621,466.037,17
292,773,1159.801,489.241,17
293,606,1356.092,460.647,17
294,1169,1116.643,509.049,17
295,462,1048.061,526.978,17
296,783,774.086,678.259,17
297,312,294.853,807.542,17
298,451,519.214,96.822,18
299,332,418.202,106.446,18
300,501,395.370,119.109,18
301,455,495.575,112.287,18
302,663,915.874,114.378,18
303,333,1082.014,121.410,18
304,539,891.058,139.593,18
305,355,1333.097,302.965,18
306,462,601.346,425.963,18
307,760,718.799,446.600,18
308,465,1349.803,423.771,18
309,371,756.745,445.697,18
310,783,1101.883,499.458,18
311,719,1149.312,495.494,18
312,354,1070.079,509.082,18
313,697,645.737,636.199,18
314,779,778.921,662.461,18
315,360,312.775,810.236,18
316,350,1202.626,9.583,19
317,477,536.236,67.328,19
318,519,512.138,79.986,19
319,939,953.595,95.658,19
320,352,384.335,95.082,19
321,389,359.009,105.742,19
322,551,918.061,110.317,19
323,422,1079.178,123.737,19
324,385,1344.287,372.064,19
325,576,769.285,421.128,19
326,634,1347.905,406.603,19
327,895,740.354,435.005,19
328,565,634.557,431.465,19
329,333,1381.833,494.539,19
330,304,1046.974,501.171,19
331,469,1148.543,511.758,19
332,330,1097.009,518.336,19
333,595,786.448,592.971,19
334,1235,646.043,631.189,19
335,355,779.277,651.703,19
336,391,1121.357,667.689,19
337,569,1234.094,880.470,19
338,567,283.315,900.445,19
339,390,573.205,51.967,20
340,513,547.822,67.212,20
341,704,965.162,86.952,20
342,774,940.061,104.928,20
343,544,329.011,110.642,20
344,487,1048.557,138.685,20
345,677,1352.795,369.614,20
346,855,795.645,418.981,20
347,913,754.949,414.245,20
348,485,1344.834,406.246,20
349,567,667.373,440.498,20
350,743,1002.760,514.135,20
351,514,960.393,519.660,20
352,916,1136.205,704.159,20
353,587,607.118,43.318,21
354,345,578.743,61.761,21
355,607,302.801,92.264,21
356,406,1024.943,110.865,21
357,660,988.121,125.589,21
358,805,1068.137,142.789,21
359,475,1346.521,370.692,21
360,422,797.618,372.069,21
361,695,765.722,385.376,21
362,498,681.462,461.582,21
363,726,974.771,513.207,21
364,479,932.091,521.669,21
365,476,814.246,630.126,21
366,896,1156.156,735.711,21
367,345,1195.926,752.717,21
368,751,8.757,986.669,21
369,688,647.935,32.622,22
370,450,265.144,70.200,22
371,301,155.271,83.387,22
372,375,1058.353,99.407,22
373,737,1022.927,117.713,22
374,417,1127.817,121.797,22
375,1078,1087.763,146.357,22
376,492,822.644,353.291,22
377,908,1357.642,376.750,22
378,764,785.412,365.818,22
379,641,1309.272,397.321,22
