id,from,to,from_frame,to_frame
1,564,618,16,17
2,514,564,15,16
3,466,514,14,15
4,417,466,13,14
5,363,417,12,13
6,316,363,11,12
7,271,316,10,11
8,227,271,9,10
9,183,227,8,9
10,142,183,7,8
11,94,142,6,7
12,51,94,5,6
13,7,51,4,5
14,5,7,3,4
15,3,5,2,3
16,1,3,1,2
17,188,234,8,9
18,149,188,7,8
19,100,149,6,7
20,58,100,5,6
21,13,58,4,5
22,536,577,15,16
23,488,536,14,15
24,434,488,13,14
25,376,434,12,13
26,317,376,11,12
27,275,317,10,11
28,233,275,9,10
29,190,233,8,9
30,146,190,7,8
31,97,146,6,7
32,55,97,5,6
33,14,55,4,5
34,428,480,13,14
35,373,428,12,13
36,327,373,11,12
37,284,327,10,11
38,239,284,9,10
39,197,239,8,9
40,151,197,7,8
41,104,151,6,7
42,63,104,5,6
43,23,63,4,5
44,287,332,10,11
45,238,287,9,10
46,200,238,8,9
47,158,200,7,8
48,112,158,6,7
49,71,112,5,6
50,29,71,4,5
51,160,203,7,8
52,119,160,6,7
53,65,119,5,6
54,21,65,4,5
55,240,283,9,10
56,194,240,8,9
57,157,194,7,8
58,113,157,6,7
59,70,113,5,6
60,19,70,4,5
61,702,749,19,20
62,664,702,18,19
63,622,664,17,18
64,576,622,16,17
65,534,576,15,16
66,486,534,14,15
67,433,486,13,14
68,383,433,12,13
69,331,383,11,12
70,286,331,10,11
71,242,286,9,10
72,201,242,8,9
73,154,201,7,8
74,117,154,6,7
75,73,117,5,6
76,31,73,4,5
77,1230,1256,33,34
78,1196,1230,32,33
79,1166,1196,31,32
80,1140,1166,30,31
81,1102,1140,29,30
82,1064,1102,28,29
83,1021,1064,27,28
84,977,1021,26,27
85,935,977,25,26
86,884,935,24,25
87,854,884,23,24
88,814,854,22,23
89,778,814,21,22
90,752,778,20,21
91,710,752,19,20
92,665,710,18,19
93,623,665,17,18
94,578,623,16,17
95,535,578,15,16
96,487,535,14,15
97,435,487,13,14
98,384,435,12,13
99,334,384,11,12
100,290,334,10,11
101,246,290,9,10
102,202,246,8,9
103,161,202,7,8
104,118,161,6,7
105,74,118,5,6
106,12,74,4,5
107,205,247,8,9
108,162,205,7,8
109,120,162,6,7
110,75,120,5,6
111,33,75,4,5
112,293,339,10,11
113,251,293,9,10
114,209,251,8,9
115,165,209,7,8
116,124,165,6,7
117,77,124,5,6
118,35,77,4,5
119,212,255,8,9
120,167,212,7,8
121,125,167,6,7
122,78,125,5,6
123,36,78,4,5
124,445,499,13,14
125,397,445,12,13
126,343,397,11,12
127,297,343,10,11
128,257,297,9,10
129,214,257,8,9
130,172,214,7,8
131,129,172,6,7
132,80,129,5,6
133,40,80,4,5
134,939,975,25,26
135,888,939,24,25
136,858,888,23,24
137,818,858,22,23
138,787,818,21,22
139,757,787,20,21
140,712,757,19,20
141,668,712,18,19
142,625,668,17,18
143,580,625,16,17
144,538,580,15,16
145,492,538,14,15
146,440,492,13,14
147,391,440,12,13
148,338,391,11,12
149,294,338,10,11
150,253,294,9,10
151,210,253,8,9
152,170,210,7,8
153,128,170,6,7
154,81,128,5,6
155,41,81,4,5
156,638,680,17,18
157,590,638,16,17
158,547,590,15,16
159,501,547,14,15
160,446,501,13,14
161,395,446,12,13
162,341,395,11,12
163,295,341,10,11
164,256,295,9,10
165,213,256,8,9
166,171,213,7,8
167,130,171,6,7
168,82,130,5,6
169,38,82,4,5
170,344,399,11,12
171,299,344,10,11
172,260,299,9,10
173,218,260,8,9
174,174,218,7,8
175,132,174,6,7
176,83,132,5,6
177,39,83,4,5
178,2566,2617,65,66
179,2514,2566,64,65
180,2459,2514,63,64
181,2408,2459,62,63
182,2359,2408,61,62
183,2304,2359,60,61
184,2258,2304,59,60
185,2205,2258,58,59
186,2160,2205,57,58
187,2115,2160,56,57
188,2064,2115,55,56
189,2019,2064,54,55
190,1973,2019,53,54
191,1924,1973,52,53
192,1884,1924,51,52
193,1847,1884,50,51
194,1798,1847,49,50
195,1760,1798,48,49
196,1711,1760,47,48
197,1667,1711,46,47
198,1632,1667,45,46
199,1593,1632,44,45
200,1564,1593,43,44
201,1533,1564,42,43
202,1503,1533,41,42
203,1469,1503,40,41
204,1434,1469,39,40
205,1399,1434,38,39
206,1366,1399,37,38
207,1333,1366,36,37
208,1301,1333,35,36
209,1271,1301,34,35
210,1233,1271,33,34
211,1201,1233,32,33
212,1173,1201,31,32
213,1144,1173,30,31
214,1106,1144,29,30
215,1067,1106,28,29
216,1024,1067,27,28
217,980,1024,26,27
218,942,980,25,26
219,891,942,24,25
220,862,891,23,24
221,822,862,22,23
222,792,822,21,22
223,761,792,20,21
224,716,761,19,20
225,672,716,18,19
226,631,672,17,18
227,584,631,16,17
228,543,584,15,16
229,497,543,14,15
230,443,497,13,14
231,394,443,12,13
232,342,394,11,12
233,298,342,10,11
234,258,298,9,10
235,215,258,8,9
236,173,215,7,8
237,131,173,6,7
238,84,131,5,6
239,43,84,4,5
240,2171,2216,57,58
241,2125,2171,56,57
242,2075,2125,55,56
243,2028,2075,54,55
244,1985,2028,53,54
245,1935,1985,52,53
246,1893,1935,51,52
247,1856,1893,50,51
248,1804,1856,49,50
249,1767,1804,48,49
250,1718,1767,47,48
251,1674,1718,46,47
252,1638,1674,45,46
253,1599,1638,44,45
254,1571,1599,43,44
255,1539,1571,42,43
256,1510,1539,41,42
257,1476,1510,40,41
258,1443,1476,39,40
259,1406,1443,38,39
260,1373,1406,37,38
261,1342,1373,36,37
262,1309,1342,35,36
263,1277,1309,34,35
264,1241,1277,33,34
265,1208,1241,32,33
266,1177,1208,31,32
267,1149,1177,30,31
268,1111,1149,29,30
269,1072,1111,28,29
270,1029,1072,27,28
271,985,1029,26,27
272,947,985,25,26
273,896,947,24,25
274,865,896,23,24
275,826,865,22,23
276,796,826,21,22
277,765,796,20,21
278,720,765,19,20
279,676,720,18,19
280,633,676,17,18
281,587,633,16,17
282,545,587,15,16
283,500,545,14,15
284,447,500,13,14
285,400,447,12,13
286,346,400,11,12
287,301,346,10,11
288,261,301,9,10
289,219,261,8,9
290,176,219,7,8
291,133,176,6,7
292,85,133,5,6
293,44,85,4,5
294,2586,2633,65,66
295,2534,2586,64,65
296,2479,2534,63,64
297,2426,2479,62,63
298,2375,2426,61,62
299,2319,2375,60,61
300,2276,2319,59,60
301,2224,2276,58,59
302,2176,2224,57,58
303,2132,2176,56,57
304,2080,2132,55,56
305,2032,2080,54,55
306,1989,2032,53,54
307,1939,1989,52,53
308,1897,1939,51,52
309,1860,1897,50,51
310,1808,1860,49,50
311,1769,1808,48,49
312,1720,1769,47,48
313,1677,1720,46,47
314,1641,1677,45,46
315,1601,1641,44,45
316,1573,1601,43,44
317,1541,1573,42,43
318,1511,1541,41,42
319,1478,1511,40,41
320,1444,1478,39,40
321,1408,1444,38,39
322,1374,1408,37,38
323,1343,1374,36,37
324,1310,1343,35,36
325,1278,1310,34,35
326,1242,1278,33,34
327,1209,1242,32,33
328,1178,1209,31,32
329,1150,1178,30,31
330,1114,1150,29,30
331,1074,1114,28,29
332,1032,1074,27,28
333,987,1032,26,27
334,949,987,25,26
335,898,949,24,25
336,868,898,23,24
337,828,868,22,23
338,797,828,21,22
339,766,797,20,21
340,721,766,19,20
341,677,721,18,19
342,635,677,17,18
343,589,635,16,17
344,546,589,15,16
345,502,546,14,15
346,448,502,13,14
347,401,448,12,13
348,347,401,11,12
349,302,347,10,11
350,259,302,9,10
351,217,259,8,9
352,175,217,7,8
353,134,175,6,7
354,86,134,5,6
355,45,86,4,5
356,2635,2688,66,67
357,2585,2635,65,66
358,2532,2585,64,65
359,2477,2532,63,64
360,2421,2477,62,63
361,2372,2421,61,62
362,2316,2372,60,61
363,2272,2316,59,60
364,2221,2272,58,59
365,2175,2221,57,58
366,2130,2175,56,57
367,2081,2130,55,56
368,2033,2081,54,55
369,1990,2033,53,54
370,1941,1990,52,53
371,1900,1941,51,52
372,1863,1900,50,51
373,1814,1863,49,50
374,1773,1814,48,49
375,1724,1773,47,48
376,1681,1724,46,47
377,1644,1681,45,46
378,1604,1644,44,45
379,1576,1604,43,44
380,1544,1576,42,43
