ID,Area,XM,YM,Slice
1,744,1382.808,18.899,1
2,401,146.390,450.054,1
3,886,1381.814,19.790,2
4,827,186.054,513.842,2
5,1224,1380.659,24.733,3
6,319,843.748,661.381,3
7,2543,1377.183,41.898,4
8,361,361.719,65.976,4
9,342,260.105,74.333,4
10,506,1056.239,85.638,4
11,373,417.371,93.763,4
12,321,464.600,94.528,4
13,306,514.167,89.578,4
14,391,1012.091,99.229,4
15,361,1314.478,112.018,4
16,2377,1069.634,135.988,4
17,695,874.520,125.805,4
18,9139,903.576,158.591,4
19,5655,230.375,164.163,4
20,556,62.135,136.910,4
21,395,785.442,140.518,4
22,1870,1134.383,158.439,4
23,433,19.985,148.311,4
24,1333,738.736,161.221,4
25,485,834.811,152.337,4
26,330,215.927,156.309,4
27,349,34.162,158.795,4
28,743,1196.851,165.220,4
29,896,86.887,171.987,4
30,608,1239.053,174.768,4
31,855,1317.350,176.590,4
32,360,685.119,182.508,4
33,1310,717.166,291.676,4
34,1997,322.218,380.330,4
35,689,1328.513,491.069,4
36,2166,186.221,521.900,4
37,1156,322.452,603.889,4
38,810,1063.290,597.784,4
39,534,1310.506,599.195,4
40,330,311.252,609.030,4
41,909,927.738,624.161,4
42,860,818.621,627.633,4
43,1426,486.993,647.708,4
44,1365,35.919,667.608,4
45,1063,186.038,725.719,4
46,826,207.396,831.230,4
47,1170,1014.644,851.375,4
48,1606,916.226,966.791,4
49,992,1366.448,993.604,4
50,431,1128.713,1016.048,4
51,2342,1377.519,37.357,5
52,334,1050.862,42.823,5
53,431,1038.860,90.725,5
54,595,495.392,89.034,5
55,464,989.487,93.013,5
56,1214,405.654,116.593,5
57,660,1301.438,109.970,5
58,931,535.487,112.144,5
59,6568,1082.290,146.129,5
60,378,359.635,124.778,5
61,2072,725.099,149.391,5
62,6439,878.181,168.029,5
63,475,12.654,139.399,5
64,4373,132.791,160.899,5
65,484,767.128,142.037,5
66,321,1310.628,140.173,5
67,498,364.494,147.247,5
68,744,286.827,163.392,5
69,801,314.559,154.690,5
70,828,254.072,171.740,5
71,1300,60.227,174.488,5
72,634,1233.932,174.902,5
73,866,1313.674,178.421,5
74,500,468.090,185.064,5
75,1316,711.045,274.610,5
76,1898,296.968,366.897,5
77,625,1343.866,487.396,5
78,2403,179.927,513.061,5
79,1394,801.544,581.357,5
80,2041,312.299,610.212,5
81,1042,915.015,594.408,5
82,632,1029.231,600.210,5
83,613,1279.128,626.575,5
84,667,477.146,637.909,5
85,1319,38.219,686.032,5
86,1842,192.448,725.932,5
87,809,1366.344,791.575,5
88,373,1339.511,803.076,5
89,710,207.510,825.603,5
90,1855,998.606,849.423,5
91,1284,917.808,996.812,5
92,312,1129.151,1017.237,5
93,475,1378.167,1032.262,5
94,3693,1374.945,53.642,6
95,340,1051.385,43.044,6
96,602,495.731,88.927,6
97,905,1012.941,92.303,6
98,1206,407.497,117.507,6
99,594,1301.322,111.753,6
100,882,535.525,112.549,6
101,341,1343.218,110.136,6
102,366,359.765,123.434,6
103,433,227.255,134.070,6
104,513,12.810,140.165,6
105,425,1375.700,137.265,6
106,4206,131.532,159.774,6
107,487,767.806,142.393,6
108,409,1312.444,140.957,6
109,741,287.034,163.634,6
110,776,315.304,155.278,6
111,492,366.152,147.776,6
112,1382,60.807,174.056,6
113,862,254.855,172.348,6
114,828,1188.307,169.658,6
115,352,1370.312,170.693,6
116,636,1234.701,174.670,6
117,919,1315.241,178.502,6
118,899,464.437,202.903,6
119,1010,804.479,223.431,6
120,1270,709.266,263.969,6
121,835,242.389,294.498,6
122,1932,270.384,336.584,6
123,481,154.673,436.286,6
124,706,1336.416,491.868,6
125,1351,189.732,506.365,6
126,919,817.523,537.005,6
127,350,794.566,550.500,6
128,1400,885.370,570.849,6
129,2041,317.144,607.974,6
130,623,993.548,610.429,6
131,610,481.387,639.715,6
132,532,1249.081,649.778,6
133,960,53.864,701.394,6
134,1205,192.053,714.438,6
135,732,1325.087,786.388,6
136,323,1296.977,796.224,6
137,1003,212.445,820.154,6
138,825,1008.414,862.711,6
139,449,1129.021,1012.616,6
140,1274,627.639,1019.403,6
141,1151,917.900,1031.292,6
142,7054,1362.682,64.259,7
143,310,1051.339,42.945,7
144,578,496.178,89.087,7
145,408,1038.863,91.189,7
146,468,991.096,93.090,7
147,1186,407.309,117.083,7
148,672,1302.342,110.525,7
149,880,535.808,112.127,7
150,858,363.337,137.368,7
151,423,13.443,139.273,7
152,4116,131.661,159.856,7
153,467,767.892,142.217,7
154,2031,1326.081,163.899,7
155,702,287.516,164.218,7
156,778,315.757,155.041,7
157,846,254.553,172.084,7
158,1315,60.548,174.343,7
159,1437,1208.803,171.737,7
160,1500,808.190,216.919,7
161,785,479.081,222.259,7
162,1268,699.365,251.314,7
163,1362,209.065,281.341,7
164,2406,228.678,301.195,7
165,387,1331.629,478.554,7
166,338,827.225,474.414,7
167,1136,177.060,501.203,7
168,926,843.583,495.775,7
169,356,819.632,509.978,7
170,1390,865.830,553.081,7
171,817,965.834,599.544,7
172,2248,317.207,610.745,7
173,932,484.593,641.676,7
174,522,1210.939,672.435,7
175,1171,193.876,707.900,7
176,765,59.799,705.825,7
177,789,1291.307,751.309,7
178,793,212.371,829.637,7
179,536,998.185,853.707,7
180,1158,638.454,991.268,7
181,430,1129.563,1014.088,7
182,394,881.249,5.911,8
183,7739,1357.968,64.779,8
184,396,1010.722,17.088,8
185,427,471.938,91.266,8
186,657,1009.296,94.486,8
187,717,413.305,112.626,8
188,839,537.164,113.287,8
189,5319,1079.365,144.073,8
190,3971,927.574,150.466,8
191,355,422.596,131.272,8
192,910,46.957,140.831,8
193,519,1308.512,139.849,8
194,5302,200.028,166.048,8
195,490,832.920,153.227,8
196,2830,762.568,171.007,8
197,429,25.216,160.959,8
198,781,1189.888,168.640,8
199,607,1236.296,175.085,8
200,690,91.006,180.146,8
201,1076,1327.361,177.664,8
202,1238,481.057,219.122,8
203,1084,821.952,211.600,8
204,1044,179.650,245.087,8
205,1237,693.747,238.232,8
206,3064,194.834,272.723,8
207,1249,843.852,440.172,8
208,364,831.093,461.069,8
209,770,1315.336,483.145,8
210,1817,857.784,536.722,8
211,2222,150.905,521.872,8
212,412,151.325,580.434,8
213,697,930.610,600.418,8
214,2444,323.299,618.421,8
215,881,488.432,640.380,8
216,660,1166.197,684.909,8
217,1535,189.898,700.916,8
218,306,1140.801,697.000,8
219,832,67.968,708.571,8
220,1049,1252.957,735.519,8
221,707,213.446,830.623,8
222,1104,994.208,848.439,8
223,717,677.941,963.891,8
224,407,1127.525,1018.478,8
225,364,880.387,5.786,9
226,7168,1360.527,61.222,9
227,854,1306.779,75.622,9
228,405,471.875,91.307,9
229,623,1009.288,94.519,9
230,680,413.360,112.601,9
231,718,536.394,111.130,9
232,5192,1078.796,143.368,9
233,6109,894.079,160.124,9
234,9047,513.817,154.473,9
235,827,46.103,140.980,9
236,647,319.627,155.528,9
237,2418,746.761,169.275,9
238,3768,137.822,167.156,9
239,304,31.763,159.480,9
240,1248,270.827,173.829,9
241,664,1187.617,168.988,9
242,1286,1335.858,174.958,9
243,590,1236.693,175.224,9
244,393,677.963,190.968,9
245,971,130.451,236.356,9
246,959,473.994,227.542,9
247,1300,683.138,227.965,9
248,2739,164.582,238.821,9
249,1243,873.457,428.292,9
250,387,854.903,444.547,9
251,2614,1317.095,505.897,9
252,576,900.491,493.740,9
253,1151,835.497,541.816,9
254,1505,164.095,541.346,9
255,468,200.370,581.517,9
256,714,905.339,583.227,9
257,2050,330.062,637.641,9
258,877,487.334,631.500,9
259,859,171.754,698.792,9
260,663,1125.859,694.876,9
261,840,78.115,706.315,9
262,749,1232.053,713.389,9
263,631,207.750,828.798,9
264,1265,993.368,852.263,9
265,716,698.729,932.737,9
266,428,1129.229,1014.507,9
267,6221,1365.164,56.670,10
268,315,259.338,74.363,10
269,447,1055.903,85.999,10
270,325,1009.863,97.294,10
271,564,1319.094,113.202,10
272,2394,1068.919,136.571,10
273,420,377.262,121.293,10
274,484,875.645,120.159,10
275,7932,918.386,155.307,10
276,2594,291.928,162.957,10
277,537,62.319,137.399,10
278,437,18.665,149.358,10
279,2347,756.521,168.140,10
280,1903,1134.105,158.823,10
281,4399,164.698,192.423,10
282,632,132.326,157.057,10
283,329,214.233,157.059,10
284,327,33.628,158.946,10
285,752,1188.976,168.195,10
286,1451,1336.581,174.186,10
287,973,87.589,172.311,10
288,667,1237.858,174.968,10
289,347,684.082,183.134,10
290,1021,470.797,209.452,10
291,990,909.495,399.844,10
292,333,889.509,416.506,10
293,917,1330.172,513.165,10
294,664,858.145,528.755,10
295,1574,880.192,568.537,10
296,1241,181.330,556.997,10
297,2051,336.381,646.824,10
298,1309,488.137,633.125,10
299,1083,1108.901,689.402,10
300,733,1208.570,696.193,10
301,925,86.965,704.430,10
302,1574,170.830,715.745,10
303,957,205.134,825.297,10
304,510,995.780,835.782,10
305,861,735.197,901.445,10
306,308,1112.799,1000.110,10
307,495,1129.553,1013.664,10
308,5496,1370.497,64.943,11
309,500,363.116,69.086,11
310,357,261.105,72.895,11
311,582,1056.620,84.309,11
312,361,517.514,85.868,11
313,2418,1076.014,131.315,11
314,324,422.617,90.111,11
315,430,1013.198,98.393,11
316,843,1314.029,110.534,11
317,9203,918.101,152.414,11
318,1666,364.979,149.728,11
319,523,786.718,134.024,11
320,594,334.532,144.448,11
321,300,607.613,137.820,11
322,4379,153.352,174.209,11
323,2064,1133.463,158.477,11
324,440,20.352,147.682,11
325,3214,265.476,165.432,11
326,2423,758.216,168.868,11
327,475,35.416,161.382,11
328,819,1198.291,163.509,11
329,1046,1251.117,174.493,11
330,713,81.960,170.085,11
331,900,1340.090,175.218,11
332,500,96.088,184.774,11
333,1993,657.724,221.258,11
334,1218,475.538,215.656,11
335,832,959.312,425.833,11
336,318,932.821,435.330,11
337,1014,1335.434,491.984,11
338,1147,845.912,512.125,11
339,302,1291.811,514.295,11
340,2358,176.823,557.756,11
341,1530,860.775,582.963,11
342,1467,493.619,626.928,11
343,1831,344.361,651.975,11
344,801,1107.304,678.743,11
345,1116,1178.379,680.584,11
346,905,93.487,690.458,11
347,1373,172.705,725.016,11
