id,date,period,subject,title,place,place_en,genre,institution
D115010804,2015-01-20,NA:2015-02-27:応募終了日前から選考を開始する場合があります。,大学作業療法学科　専任教員の公募,准教授・常勤専任講師相当:助教相当,"[""大阪府""]","[""Osaka""]",医歯薬学:その他,藍野大学
D115010826,2015-01-20,NA:2015-02-03:NA,「みはるかす研究員（研究再開を目指す女性研究員）の募集」,研究員・ポスドク相当,"[""神奈川県""]","[""Kanagawa""]",その他,横浜国立大学
D115010818,2015-01-20,"2015年01月07日 ～,2015年02月02日 消印有効",特定任期付職員【政策研究担当・総合企画戦略担当・福祉政策担当】,研究員・ポスドク相当:特定任期付職員,"[""滋賀県""]","[""Shiga""]",社会科学:その他:その他,草津市役所
D115010828,2015-01-20,NA:2015-02-12:NA,徳島大学疾患酵素学研究センター（酵素・蛋白質・遺伝子リソース部門）助教の公募,助教相当,"[""徳島県""]","[""Tokushima""]",生物学:医歯薬学,徳島大学
D115010822,2015-01-20,2015-01-20:2015-03-31:NA,准教授　1名（成人看護学分野）,准教授・常勤専任講師相当,"[""埼玉県""]","[""Saitama""]",医歯薬学,埼玉医科大学
D115010820,2015-01-20,NA:2015-01-30:NA,教員公募のお知らせ(看護学部看護学科　基礎看護学領域　准教授または助教),准教授・常勤専任講師相当:助教相当,"[""静岡県""]","[""Shizuoka""]",医歯薬学,聖隷クリストファー大学
D115010825,2015-01-20,NA:2015-01-30:NA,教員公募のお知らせ（看護学部看護学科　老年看護学領域　助教1名）,助教相当,"[""静岡県""]","[""Shizuoka""]",医歯薬学,聖隷クリストファー大学
D115010833,2015-01-20,2015-01-20:2015-03-31:NA,助教　3名（基礎看護学分野）,助教相当,"[""埼玉県""]","[""Saitama""]",医歯薬学,埼玉医科大学
D115010832,2015-01-20,2015-01-20:2015-03-31:NA,准教授または講師　1名（精神看護学分野）,准教授・常勤専任講師相当,"[""埼玉県""]","[""Saitama""]",医歯薬学,埼玉医科大学
D115010824,2015-01-20,2015-01-20:2015-03-31:NA,助教または助手　1名（母性看護学分野）,助教相当:研究・教育補助者相当,"[""埼玉県""]","[""Saitama""]",医歯薬学,埼玉医科大学
D115010819,2015-01-20,2015-01-20:2015-03-31:NA,教授　1名（成人看護学分野）,教授相当,"[""埼玉県""]","[""Saitama""]",医歯薬学,埼玉医科大学
D115010803,2015-01-20,NA:2015-02-25:募集終了日前から選考することがあります。,大学看護学科　専任教員の公募,助教相当,"[""大阪府""]","[""Osaka""]",医歯薬学,藍野大学
D115010792,2015-01-20,2015-01-19:2015-02-28:NA,家族・生殖看護学研究室教員（講師又は助教）の公募について,准教授・常勤専任講師相当:助教相当,"[""東京都""]","[""Tokyo""]",医歯薬学,東邦大学
D115010682,2015-01-20,2015-01-17:2015-02-27:NA,北海道大学遺伝子病制御研究所教授候補者の公募について,教授相当,"[""北海道""]","[""Hokkaido""]",医歯薬学:生物学,北海道大学
D115010790,2015-01-20,NA:2015-03-15:NA,ポスドク募集(基生研、宮成G）,研究員・ポスドク相当,"[""愛知県""]","[""Aichi""]",生物学:医歯薬学,自然科学研究機構岡崎統合バイオサイエンスセンター
D115010776,2015-01-20,2015-01-18:2015-01-30:NA,助教又は助手（基礎看護科学講座 基礎看護学）１名　,助教相当:研究・教育補助者相当,"[""大分県""]","[""Oita""]",医歯薬学,大分県立看護科学大学
D115010775,2015-01-20,2015-01-18:2015-01-30:NA,助教又は助手（基礎看護科学講座 看護アセスメント学）１名　,助教相当:研究・教育補助者相当,"[""大分県""]","[""Oita""]",医歯薬学,大分県立看護科学大学
D115010767,2015-01-20,NA:2015-02-16:NA,非常勤講師の公募（臨床医学神経内科）,非常勤講師相当,"[""埼玉県""]","[""Saitama""]",医歯薬学,文京学院大学
D115010766,2015-01-20,NA:2015-02-16:NA,非常勤講師の公募（リハビリテーション医学）,非常勤講師相当,"[""埼玉県""]","[""Saitama""]",医歯薬学,文京学院大学
D115010765,2015-01-20,2015-01-16:2015-02-16:NA,重粒子線医学研究センター（物理学部門）　教授　の公募,教授相当,"[""群馬県""]","[""Gunma""]",医歯薬学:工学,群馬大学
D115010755,2015-01-20,NA:2015-02-06:NA,看護学等教員の公募,教授相当:准教授・常勤専任講師相当:助教相当,"[""岐阜県""]","[""Gifu""]",医歯薬学:医歯薬学:医歯薬学,東海学院大学
D115010752,2015-01-20,NA:2015-03-31:採用者が決定次第、募集を終了します。,技術補佐員の募集（大阪大学・蛋白質研究所・膜蛋白質化学研究室）,研究・教育補助者相当,"[""大阪府""]","[""Osaka""]",生物学:医歯薬学:農学,大阪大学
D115010750,2015-01-20,NA:2015-02-27:NA,博士研究員（ポスドク）募集　(生理学研究所　深田研),研究員・ポスドク相当,"[""愛知県""]","[""Aichi""]",総合生物:医歯薬学:生物学,自然科学研究機構生理学研究所
D115010746,2015-01-20,NA:2015-03-31:NA,特任助教またはポスドクの公募（造血・自然免疫研究分野）,助教相当:研究員・ポスドク相当,"[""熊本県""]","[""Kumamoto""]",医歯薬学:生物学,熊本大学
D115010747,2015-01-20,2015-01-16:2015-02-27:NA,看護学部　助教又は助手（専門分野：母性看護学・助産学）,助教相当:研究・教育補助者相当,"[""東京都""]","[""Tokyo""]",医歯薬学,国立看護大学校
D115010745,2015-01-20,2015-01-16:2015-02-16:NA,看護学部　助教（専門分野：看護情報学）,助教相当,"[""東京都""]","[""Tokyo""]",医歯薬学,国立看護大学校
D115010815,2015-01-20,2015-01-19:2015-01-30:NA,長崎大学原爆後障害医療研究所　附属放射線・環境健康影響共同研究推進センター　資料収集保存・解析部生体材料保存室　技術職員募集,研究・教育補助者相当,"[""長崎県""]","[""Nagasaki""]",医歯薬学,長崎大学
D115010801,2015-01-20,NA:2015-02-16:NA,富山大学 大学院医学薬学研究部（医学）危機管理医学講座 講師候補者の公募について,准教授・常勤専任講師相当,"[""富山県""]","[""Toyama""]",医歯薬学:医歯薬学,富山大学
D115010817,2015-01-20,NA:2015-02-28:NA,心理士募集,研究・教育補助者相当,"[""東京都""]","[""Tokyo""]",複合領域:医歯薬学:社会科学,順天堂大学
D115010841,2015-01-20,NA:2015-01-26:NA,医学部・臨床看護学講座（成人看護学）准教授の公募について,准教授・常勤専任講師相当,"[""静岡県""]","[""Shizuoka""]",医歯薬学,浜松医科大学
D115010526,2015-01-20,2015-01-15:2015-02-28:なお、採用者が決定次第、公募を終了します。,実験補助員募集（化学療法科）,研究・教育補助者相当,"[""東京都""]","[""Tokyo""]",医歯薬学:総合生物:生物学,がん・感染症センター都立駒込病院
D115010508,2015-01-20,2015-01-15:2015-02-10:NA,リサーチ・アドミニストレーター（ＵＲＡ）の募集（生命科学領域）,URA（リサーチ・アドミニストレーター）:研究管理者相当,"[""長崎県""]","[""Nagasaki""]",医歯薬学,長崎大学
D115010809,2015-01-20,"2015年01月20日 ～,2015年02月13日 消印有効",食物栄養学科専任教員の公募（准教授・専任講師・助教）,准教授・常勤専任講師相当:助教相当,"[""北海道""]","[""Hokkaido""]",複合領域,函館短期大学
D115010830,2015-01-20,2015-01-20:2015-02-28:NA,教授　または　特任教授　の公募（生活デザインコース）,教授相当,"[""大阪府""]","[""Osaka""]",複合領域:複合領域,大阪成蹊短期大学
D115010802,2015-01-20,2015-01-16:2015-03-31:採用者が決定次第、公募を締め切ります。,国立スポーツ科学センター研究員募集（トレーニング科学、スポーツ工学、情報工学、スポーツに関連した流体力学研究）,研究員・ポスドク相当,"[""東京都""]","[""Tokyo""]",複合領域,独立行政法人日本スポーツ振興センター
D115010777,2015-01-20,NA:2015-02-05:NA,独立行政法人国立文化財機構東京文化財研究所アソシエイトフェローの募集,アソシエイトフェロー:研究員・ポスドク相当,"[""東京都""]","[""Tokyo""]",複合領域,独立行政法人国立文化財機構
D115010805,2015-01-20,NA:2015-07-19:採用予定人数に達した時点で募集を終了します。,任期制契約職員（調査員）の募集（産学基礎基盤推進部）,調査員,"[""東京都""]","[""Tokyo""]",複合領域,独立行政法人科学技術振興機構
D115010740,2015-01-20,2015-01-17:2015-02-06:NA,高等学校（保健体育）非常勤講師募集,専門学校・小中高等の教員相当,"[""埼玉県""]","[""Saitama""]",複合領域,筑波大学附属坂戸高等学校
D115010656,2015-01-20,NA:2015-02-03:NA,ＮＩＣＴ有期研究員公募 (公募No.　2015R-2)ソーシャルビッグデータのための相関データベース基盤技術に関する研究開発,研究員・ポスドク相当,"[""京都府""]","[""Kyoto""]",工学:情報学:総合理工,独立行政法人情報通信研究機構
D115010657,2015-01-20,NA:2015-02-03:NA,ＮＩＣＴ有期研究員公募 (公募No.　2015R-5)電磁環境計測技術の研究,研究員・ポスドク相当,"[""東京都""]","[""Tokyo""]",工学:情報学:総合理工,独立行政法人情報通信研究機構
D115010659,2015-01-20,NA:2015-02-03:NA,ＮＩＣＴ有期研究員公募 (公募No.　2015R-29)ミリ波・テラヘルツ波無線集積回路およびトランシーバ技術の研究開発,研究員・ポスドク相当,"[""東京都""]","[""Tokyo""]",工学:情報学:総合理工,独立行政法人情報通信研究機構
D115010660,2015-01-20,NA:2015-02-03:NA,ＮＩＣＴ有期研究員公募 (公募No.　2015R-36)ソーシャルビッグデータの統合検索分析技術に関する研究開発,研究員・ポスドク相当,"[""京都府""]","[""Kyoto""]",工学:情報学:総合理工,独立行政法人情報通信研究機構
D115010661,2015-01-20,NA:2015-02-03:NA,ＮＩＣＴ有期技術員公募 (公募No.　2015T-18)M2Mデータセンター設備におけるネットワーク環境の構築・管理・運用業務,研究・教育補助者相当,"[""京都府""]","[""Kyoto""]",工学:情報学:総合理工,独立行政法人情報通信研究機構
D115010663,2015-01-20,NA:2015-02-03:NA,ＮＩＣＴ有期研究員公募 (公募No.　2015R-16)生体への電波ばく露量評価技術に関する研究,研究員・ポスドク相当,"[""東京都""]","[""Tokyo""]",工学:情報学:総合理工,独立行政法人情報通信研究機構
D115010671,2015-01-20,NA:2015-02-03:NA,ＮＩＣＴ有期研究員公募 (公募No.　2015R-23)自律的要素を含むネットワーク実験を可能とする検証技術の研究開発,研究員・ポスドク相当,"[""石川県""]","[""Ishikawa""]",工学:情報学:総合理工,独立行政法人情報通信研究機構
D115010673,2015-01-20,NA:2015-02-03:NA,ＮＩＣＴ有期研究員公募 (公募No.　2015R-24)大規模エミュレーション基盤を利用した検証技術の高度化および応用技術の研究開発,研究員・ポスドク相当,"[""石川県""]","[""Ishikawa""]",工学:情報学:総合理工,独立行政法人情報通信研究機構
D115010674,2015-01-20,NA:2015-02-03:NA,ＮＩＣＴ有期研究員公募 (公募No.　2015R-31)新世代ネットワークの設計と評価のための大規模ネットワークエミュレーションテストベッドの研究開発,研究員・ポスドク相当,"[""石川県""]","[""Ishikawa""]",工学:情報学:総合理工,独立行政法人情報通信研究機構
D115010666,2015-01-20,NA:2015-02-03:NA,ＮＩＣＴ有期研究員公募 (公募No.　2015R-37)超高周波分光分析技術の研究,研究員・ポスドク相当,"[""東京都""]","[""Tokyo""]",工学:情報学:総合理工,独立行政法人情報通信研究機構
D115010697,2015-01-20,2015-01-15:2015-02-06:NA,特任講師・特任助教の公募（ACCEL身体性メディアプロジェクト）,准教授・常勤専任講師相当:助教相当,"[""東京都 神奈川県""]",[nil],工学:総合理工:複合領域,慶應義塾大学
D115010759,2015-01-20,NA:2015-04-17:NA,教員の公募について（情報通信システム学・教授）,教授相当,"[""北海道""]","[""Hokkaido""]",工学:工学,北海道大学
D115010788,2015-01-20,NA:2015-02-27:NA,大阪大学ナノサイエンスデザイン教育研究センター特任教員（特任助教（常勤））公募,助教相当,"[""大阪府""]","[""Osaka""]",数物系科学:総合理工:工学,大阪大学
D115010742,2015-01-20,2015年02月16日 消印有効,技術英語と英語による専門科目の教育を担当できる教員の公募,准教授・常勤専任講師相当,"[""秋田県""]","[""Akita""]",工学:工学:工学,秋田大学
D115010813,2015-01-20,"2015年02月02日 消印有効,締切日までに届いた応募は全て考慮",ロボット分野（機械システム工学専攻）助教の募集,助教相当,"[""東京都""]","[""Tokyo""]",工学:情報学:複合領域,東京農工大学
D115010812,2015-01-20,2015-01-20:2015-02-10:NA,"ポスドク（産学官連携研究員）募集（micro TAS, Bio-MEMS，バイオナノテクノロジー)）",研究員・ポスドク相当,"[""東京都""]","[""Tokyo""]",複合領域:総合理工:工学,東京工業大学
D115010748,2015-01-20,2015-01-19:2015-02-20:NA,非常勤教員の公募「世界史概説Ⅰ・Ⅱ」,非常勤講師相当,"[""千葉県""]","[""Chiba""]",人文学,千葉経済大学
D115010834,2015-01-20,2015-01-19:2015-02-20:NA,佐賀県新産業創出研究員の募集,研究員・ポスドク相当,"[""佐賀県""]","[""Saga""]",農学:化学,公益財団法人佐賀県地域産業支援センター
D115010808,2015-01-20,2015-01-20:2015-03-31:NA,ポスドク研究員募集,研究員・ポスドク相当,"[""京都府""]","[""Kyoto""]",化学:工学,京都大学
D115010789,2015-01-20,2015-01-20:2015-02-23:候補者が決まり次第公募を締め切る場合があります。,法政大学マイクロ・ナノテクノロジー研究センター博士研究員募集のお知らせ,研究員・ポスドク相当,"[""東京都""]","[""Tokyo""]",化学:総合理工:総合理工,法政大学
D115010758,2015-01-20,NA:2015-01-30:＊ただし、随時選考を進め、採用者が決まり次第打ち切りとなります。,ERATO 浅野酵素活性分子プロジェクト　構造生物学、バイオインフォマティックス、計算化学の研究者,研究員・ポスドク相当:研究・教育補助者相当,"[""富山県""]","[""Toyama""]",化学:生物学:農学,富山県立大学
D115010757,2015-01-20,2015-01-17:2015-01-30:＊ただし、随時選考を進め、採用者が決まり次第打ち切りとなります。,ERATO浅野酵素活性分子プロジェクト　質量分析を用いたタンパク質構造解析の研究者,研究員・ポスドク相当:研究・教育補助者相当,"[""富山県""]","[""Toyama""]",化学:生物学:農学,富山県立大学
D115010763,2015-01-20,2015-01-19:2015-02-10:NA,技術補佐員募集（農業生産技術分野）,研究・教育補助者相当,"[""東京都""]","[""Tokyo""]",農学,東京農工大学
D115010829,2015-01-20,NA:2015-02-11:平成27年2月11日受領分まで。随時選考を行い、ポジションが埋まり次第早く締め切ることがあります。,研究員、特別研究員募集（離散事象シミュレーション研究チーム）,研究員・ポスドク相当,"[""兵庫県""]","[""Hyōgo""]",情報学:総合理工,独立行政法人理化学研究所
D115010831,2015-01-20,2015-01-19:2015-03-31:適任者が決まり次第、募集を締め切ります,情報・システム研究機構 統計数理研究所 特任研究員（データ同化研究開発センター）公募,研究員・ポスドク相当,"[""東京都""]","[""Tokyo""]",情報学:総合生物,情報・システム研究機構統計数理研究所
D115010741,2015-01-20,NA:2015-02-10:NA,芝浦工業大学　工学部　共通学群　物理科目（一般力学および演習）,非常勤講師相当,"[""埼玉県""]","[""Saitama""]",数物系科学,芝浦工業大学
D115010761,2015-01-20,NA:2015-02-16:NA,国立天文台天文データセンター特定契約職員（専門研究職員：計算機運用）,研究開発・技術者相当,"[""東京都""]","[""Tokyo""]",数物系科学,自然科学研究機構国立天文台
D115010762,2015-01-20,NA:2015-02-16:NA,国立天文台天文データセンター特定契約職員（専門研究職員：次期システム検討）,研究開発・技術者相当,"[""東京都""]","[""Tokyo""]",数物系科学,自然科学研究機構国立天文台
D115010647,2015-01-20,NA:2015-02-13:NA,立教大学理学部先端科学計測研究センター　教育研究コーディネーターの公募（宇宙地球系物理学実験，原子•原子核実験、宇宙物理•素粒子理論分野のいずれか）,研究・教育補助者相当,"[""東京都""]","[""Tokyo""]",数物系科学:数物系科学:数物系科学,立教大学
D115010786,2015-01-20,NA:2015-02-09:NA,特命助教の公募（教育関係共同利用拠点事業：臨海・臨湖実験所）,助教相当,"[""兵庫県""]","[""Hyōgo""]",生物学:環境学:総合生物,神戸大学
D115010800,2015-01-20,NA:2016-01-19:採用候補者決定次第、締め切ります。,テクニカルスタッフⅡ募集 (機能調節研究ユニット),研究・教育補助者相当,"[""神奈川県""]","[""Kanagawa""]",生物学:生物学:農学,独立行政法人理化学研究所
D115010621,2015-01-20,NA:2015-02-15:適任者が決まり次第募集を終了します。,研究員（ポスドク）募集（タンパク質分野）,研究員・ポスドク相当,"[""群馬県""]","[""Gunma""]",生物学:農学,東洋大学
D115010545,2015-01-20,NA:2015-02-28:NA,植物発生生理学の研究・教育に従事する教授または准教授の公募,教授相当:准教授・常勤専任講師相当,"[""茨城県""]","[""Ibaraki""]",生物学,筑波大学
D115010751,2015-01-20,NA:2015-03-31:NA,ポスドク募集（応用微生物学分野）,研究員・ポスドク相当,"[""沖縄県""]","[""Okinawa""]",農学:生物学,琉球大学
D115010842,2015-01-20,NA:2015-02-04:延長の可能性有り,ポスドク（産総研特別研究員）募集（バイオデザイン研究グループ）,研究員・ポスドク相当,"[""茨城県""]","[""Ibaraki""]",生物学:農学,独立行政法人産業技術総合研究所
D115010743,2015-01-20,2015-01-15:2015-02-26:NA,大阪大学大学院国際公共政策研究科　准教授または専任講師,准教授・常勤専任講師相当,"[""大阪府""]","[""Osaka""]",社会科学,大阪大学
D115010744,2015-01-20,2015-01-19:2015-02-05:NA,児童教育学科　教員の公募（幼児教育・保育）,教授相当:准教授・常勤専任講師相当,"[""沖縄県""]","[""Okinawa""]",社会科学,沖縄女子短期大学
D115010756,2015-01-20,NA:2015-02-06:NA,臨床心理教員の公募,教授相当:准教授・常勤専任講師相当,"[""岐阜県""]","[""Gifu""]",社会科学:社会科学,東海学院大学
D115010749,2015-01-20,"2015年01月17日 ～,2015年02月06日 消印有効",日本橋学館大学リベラルアーツ学部心理学教員募集,准教授・常勤専任講師相当,"[""千葉県""]","[""Chiba""]",社会科学,日本橋学館大学
D115010753,2015-01-20,NA:2015-02-06:NA,秘書学教員の公募について,教授相当:准教授・常勤専任講師相当:助教相当,"[""岐阜県""]","[""Gifu""]",社会科学,東海学院大学
D115010754,2015-01-20,NA:2015-02-06:NA,メディカル秘書教員の公募について,教授相当:准教授・常勤専任講師相当:助教相当,"[""岐阜県""]","[""Gifu""]",社会科学:社会科学,東海学院大学
D115010710,2015-01-20,NA:2015-02-13:NA,専任教員の公募（臨床心理学）,教授相当,"[""千葉県""]","[""Chiba""]",社会科学:社会科学,和洋女子大学
D115010806,2015-01-20,NA:2015-02-23:NA,京都大学大学院教育学研究科教員（准教授）の公募,准教授・常勤専任講師相当,"[""京都府""]","[""Kyoto""]",社会科学,京都大学
D115010768,2015-01-20,2015-01-17:2015-01-31:書類到着順に審査実施。募集終了日前に採用者を決定する可能性があります。,専任教員の公募（教育学：初等理科教育等）,教授相当:准教授・常勤専任講師相当,"[""千葉県""]","[""Chiba""]",社会科学,日本橋学館大学
D115010769,2015-01-20,2015-01-18:2015-01-31:書類到着順に審査実施。募集終了日前に採用者を決定する可能性があります。,専任教員の公募（教育学：教育学概論、道徳教育等）,教授相当,"[""千葉県""]","[""Chiba""]",社会科学,日本橋学館大学
D115010771,2015-01-20,2015-01-19:2015-01-31:書類到着順に審査実施。募集終了日前に採用者を決定する可能性があります。,専任教員の公募（教育学：初等国語教育等）,教授相当:准教授・常勤専任講師相当,"[""千葉県""]","[""Chiba""]",社会科学,日本橋学館大学
D115010770,2015-01-20,2015-01-18:2015-01-31:書類到着順に審査実施。募集終了日前に採用者を決定する可能性があります。,専任教員の公募（教育学：教育課程論、教育方法論等）,教授相当:准教授・常勤専任講師相当,"[""千葉県""]","[""Chiba""]",社会科学,日本橋学館大学
D115010772,2015-01-20,2015-01-19:2015-01-31:書類到着順に審査実施。募集終了日前に採用者を決定する可能性があります。,専任教員の公募（教育学：初等社会科教育等）,教授相当,"[""千葉県""]","[""Chiba""]",社会科学,日本橋学館大学
