id,from,to,from_frame,to_frame
1,1810,1841,72,73
2,1780,1810,71,72
3,1749,1780,70,71
4,1719,1749,69,70
5,1688,1719,68,69
6,1658,1688,67,68
7,1628,1658,66,67
8,1598,1628,65,66
9,1569,1598,64,65
10,1543,1569,63,64
11,1517,1543,62,63
12,1492,1517,61,62
13,1467,1492,60,61
14,1441,1467,59,60
15,1413,1441,58,59
16,1388,1413,57,58
17,1363,1388,56,57
18,1337,1363,55,56
19,1311,1337,54,55
20,1286,1311,53,54
21,1258,1286,52,53
22,1231,1258,51,52
23,1203,1231,50,51
24,1177,1203,49,50
25,1151,1177,48,49
26,1121,1151,47,48
27,1094,1121,46,47
28,1070,1094,45,46
29,1045,1070,44,45
30,1019,1045,43,44
31,994,1019,42,43
32,971,994,41,42
33,950,971,40,41
34,925,950,39,40
35,900,925,38,39
36,874,900,37,38
37,847,874,36,37
38,820,847,35,36
39,797,820,34,35
40,773,797,33,34
41,747,773,32,33
42,725,747,31,32
43,701,725,30,31
44,678,701,29,30
45,651,678,28,29
46,627,651,27,28
47,600,627,26,27
48,574,600,25,26
49,546,574,24,25
50,519,546,23,24
51,494,519,22,23
52,467,494,21,22
53,444,467,20,21
54,420,444,19,20
55,396,420,18,19
56,373,396,17,18
57,347,373,16,17
58,323,347,15,16
59,297,323,14,15
60,269,297,13,14
61,245,269,12,13
62,221,245,11,12
63,196,221,10,11
64,172,196,9,10
65,144,172,8,9
66,118,144,7,8
67,90,118,6,7
68,65,90,5,6
69,34,65,4,5
70,10,34,3,4
71,3,10,2,3
72,100,130,7,8
73,73,100,6,7
74,41,73,5,6
75,13,41,4,5
76,4,13,3,4
77,638,662,28,29
78,611,638,27,28
79,585,611,26,27
80,560,585,25,26
81,535,560,24,25
82,510,535,23,24
83,484,510,22,23
84,460,484,21,22
85,437,460,20,21
86,414,437,19,20
87,390,414,18,19
88,363,390,17,18
89,338,363,16,17
90,314,338,15,16
91,287,314,14,15
92,261,287,13,14
93,237,261,12,13
94,213,237,11,12
95,190,213,10,11
96,164,190,9,10
97,134,164,8,9
98,107,134,7,8
99,78,107,6,7
100,43,78,5,6
101,14,43,4,5
102,5,14,3,4
103,1793,1825,72,73
104,1764,1793,71,72
105,1732,1764,70,71
106,1702,1732,69,70
107,1671,1702,68,69
108,1641,1671,67,68
109,1611,1641,66,67
110,1580,1611,65,66
111,1555,1580,64,65
112,1528,1555,63,64
113,1502,1528,62,63
114,1477,1502,61,62
115,1451,1477,60,61
116,1424,1451,59,60
117,1397,1424,58,59
118,1372,1397,57,58
119,1346,1372,56,57
120,1321,1346,55,56
121,1295,1321,54,55
122,1268,1295,53,54
123,1241,1268,52,53
124,1214,1241,51,52
125,1185,1214,50,51
126,1158,1185,49,50
127,1133,1158,48,49
128,1102,1133,47,48
129,1077,1102,46,47
130,1052,1077,45,46
131,1028,1052,44,45
132,1003,1028,43,44
133,981,1003,42,43
134,959,981,41,42
135,934,959,40,41
136,909,934,39,40
137,883,909,38,39
138,858,883,37,38
139,832,858,36,37
140,807,832,35,36
141,784,807,34,35
142,758,784,33,34
143,735,758,32,33
144,710,735,31,32
145,688,710,30,31
146,661,688,29,30
147,636,661,28,29
148,608,636,27,28
149,583,608,26,27
150,557,583,25,26
151,533,557,24,25
152,507,533,23,24
153,480,507,22,23
154,456,480,21,22
155,433,456,20,21
156,409,433,19,20
157,385,409,18,19
158,358,385,17,18
159,333,358,16,17
160,309,333,15,16
161,281,309,14,15
162,256,281,13,14
163,233,256,12,13
164,209,233,11,12
165,186,209,10,11
166,160,186,9,10
167,133,160,8,9
168,103,133,7,8
169,76,103,6,7
170,45,76,5,6
171,16,45,4,5
172,6,16,3,4
173,1687,1718,68,69
174,1657,1687,67,68
175,1627,1657,66,67
176,1597,1627,65,66
177,1568,1597,64,65
178,1541,1568,63,64
179,1515,1541,62,63
