ID,Area,XM,YM,Slice
1,316,939.785,462.468,2
2,425,336.956,1017.898,2
3,338,315.701,305.698,3
4,412,934.231,313.163,3
5,417,908.112,497.603,3
6,469,342.585,1019.575,3
7,351,9.189,100.574,4
8,787,471.063,126.168,4
9,733,1077.493,139.870,4
10,1034,1106.211,228.267,4
11,617,1086.566,246.516,4
12,773,959.280,314.597,4
13,634,985.795,307.177,4
14,932,303.806,347.941,4
15,550,553.695,358.049,4
16,846,22.456,361.628,4
17,671,501.814,478.153,4
18,963,868.317,529.157,4
19,646,843.342,542.166,4
20,2008,218.262,672.797,4
21,515,880.222,672.853,4
22,1160,39.772,828.506,4
23,1035,596.351,836.614,4
24,379,1236.759,899.289,4
25,740,575.891,1004.196,4
26,691,10.374,1008.993,4
27,684,343.478,1022.487,4
28,826,502.153,92.816,5
29,893,1057.789,121.515,5
30,716,1118.066,187.140,5
31,456,1095.235,205.936,5
32,675,1002.233,309.023,5
33,953,1030.878,299.094,5
34,864,251.339,372.985,5
35,1313,566.640,370.888,5
36,1061,19.918,375.961,5
37,878,512.419,499.388,5
38,863,828.403,550.830,5
39,544,803.432,565.535,5
40,1965,209.939,650.702,5
41,600,852.837,678.970,5
42,546,873.170,681.218,5
43,314,1381.420,779.611,5
44,311,595.230,827.188,5
45,1448,34.307,847.416,5
46,376,848.851,880.213,5
47,336,1178.018,891.762,5
48,1006,41.082,983.321,5
49,781,572.766,988.716,5
50,305,21.389,997.857,5
51,772,361.324,1030.290,5
52,661,555.505,83.297,6
53,349,534.213,95.302,6
54,1012,1065.566,90.699,6
55,1507,1110.588,137.998,6
56,742,1045.028,298.728,6
57,593,1076.412,292.212,6
58,421,913.638,304.519,6
59,819,11.020,353.842,6
60,762,584.014,379.052,6
61,977,202.725,391.725,6
62,519,533.567,509.681,6
63,447,1147.912,528.202,6
64,780,788.205,570.003,6
65,564,756.301,585.071,6
66,1921,206.532,636.557,6
67,733,1084.759,676.755,6
68,422,887.372,701.578,6
69,463,610.915,813.528,6
70,398,590.814,832.113,6
71,1291,31.189,854.506,6
72,760,79.841,955.503,6
73,623,594.996,1002.659,6
74,460,885.098,1029.643,6
75,643,370.673,1030.517,6
76,759,595.604,71.815,7
77,970,1064.122,76.314,7
78,309,577.044,88.070,7
79,761,1155.558,93.618,7
80,621,1129.291,107.453,7
81,401,922.650,269.799,7
82,728,1097.158,312.584,7
83,725,1124.790,302.492,7
84,825,598.084,383.232,7
85,1002,158.039,414.705,7
86,721,561.743,506.378,7
87,896,757.291,598.206,7
88,436,731.165,614.440,7
89,1708,204.376,625.935,7
90,387,900.001,705.952,7
91,402,879.246,720.423,7
92,1407,28.529,866.762,7
93,738,120.343,947.359,7
94,471,588.933,975.069,7
95,855,865.675,997.660,7
96,718,372.311,1025.267,7
97,310,292.232,1032.584,7
98,802,1066.198,52.269,8
99,711,1180.735,54.456,8
100,645,1155.858,71.942,8
101,745,652.550,75.701,8
102,461,854.051,241.808,8
103,643,924.822,248.195,8
104,880,1134.483,309.820,8
105,567,1161.650,292.847,8
106,1083,106.864,403.865,8
107,821,611.789,403.954,8
108,776,580.378,512.054,8
109,1750,199.189,617.639,8
110,761,726.805,611.920,8
111,395,697.510,625.870,8
112,364,892.896,732.879,8
113,335,590.085,811.467,8
114,1414,31.808,876.219,8
115,571,1169.994,871.006,8
116,884,161.201,933.922,8
117,458,890.991,922.895,8
118,610,605.161,974.621,8
119,1417,868.151,978.811,8
120,798,364.685,1021.208,8
121,579,302.108,1029.258,8
122,886,1183.000,16.558,9
123,1036,1082.535,24.342,9
124,565,1162.974,36.532,9
125,750,699.412,59.281,9
126,371,855.764,241.883,9
127,756,1184.290,299.066,9
128,692,1213.788,290.529,9
129,495,283.153,314.177,9
130,1017,61.259,411.885,9
131,910,616.969,407.318,9
132,362,1254.757,478.796,9
133,802,587.493,515.964,9
134,1847,197.803,601.986,9
135,986,701.286,632.730,9
136,347,671.803,646.022,9
137,566,912.652,715.878,9
138,320,906.016,737.556,9
139,563,1159.278,770.909,9
140,650,582.926,818.578,9
141,1210,41.087,884.340,9
142,613,900.838,930.557,9
143,437,178.470,945.724,9
144,856,201.229,938.478,9
145,1738,881.349,980.938,9
146,818,612.979,976.443,9
147,439,1173.163,1011.890,9
148,580,1145.983,1025.840,9
149,433,1202.666,11.611,10
150,379,1118.967,17.492,10
151,414,1093.780,29.541,10
152,769,749.466,59.704,10
153,682,1234.182,284.953,10
154,517,1266.585,279.885,10
155,304,1336.043,294.352,10
156,904,12.425,405.494,10
157,438,634.057,417.678,10
158,764,593.323,525.257,10
159,489,1111.017,537.574,10
160,1653,201.731,588.236,10
161,927,666.518,636.779,10
162,351,922.466,738.115,10
163,416,1170.853,785.209,10
164,944,541.727,810.066,10
165,1325,56.966,888.544,10
166,406,1210.232,911.145,10
167,372,1177.755,923.379,10
168,538,912.457,941.961,10
169,927,240.353,955.898,10
170,367,215.353,962.516,10
171,500,602.260,969.136,10
172,320,1191.847,981.969,10
173,467,1181.040,1003.234,10
174,741,865.257,1010.410,10
175,467,1121.639,17.354,11
176,853,798.216,70.108,11
177,649,1262.152,288.727,11
178,395,1299.138,280.070,11
179,323,1339.277,287.259,11
180,819,652.314,412.849,11
181,872,605.125,536.008,11
182,1451,206.265,577.694,11
183,942,639.439,654.943,11
184,838,961.149,754.807,11
185,1035,511.636,814.064,11
186,1468,69.543,886.646,11
187,717,1240.559,934.100,11
188,514,1267.739,925.183,11
189,487,932.061,962.130,11
190,1150,283.175,988.048,11
191,512,1188.143,979.020,11
192,697,588.246,985.503,11
193,551,849.511,1025.502,11
194,852,820.815,68.039,12
195,323,953.937,195.187,12
196,767,1277.186,292.527,12
197,611,1241.948,304.582,12
198,406,668.475,421.320,12
199,581,11.450,527.832,12
200,1224,617.065,555.991,12
201,437,1123.196,546.630,12
202,1420,211.858,570.599,12
203,320,917.266,622.256,12
204,986,606.049,674.397,12
205,485,985.220,767.630,12
206,315,960.408,777.713,12
207,973,472.655,825.183,12
208,1331,79.791,884.141,12
209,646,1277.831,951.220,12
210,569,1209.324,955.217,12
211,478,1306.067,952.617,12
212,557,949.238,977.389,12
213,749,328.172,980.878,12
214,825,625.828,982.058,12
215,322,304.329,991.031,12
216,950,238.962,1012.363,12
217,998,838.351,69.539,13
218,560,1362.871,264.455,13
219,628,1240.403,309.317,13
220,414,679.647,428.529,13
221,897,44.054,521.354,13
222,1407,217.101,559.381,13
223,1265,627.615,568.218,13
224,884,577.183,680.729,13
225,534,1004.760,774.670,13
226,385,981.918,780.025,13
227,1099,430.035,831.846,13
228,1025,85.972,878.326,13
229,543,1216.688,935.285,13
230,770,633.099,962.058,13
231,579,1308.628,982.389,13
232,417,1338.380,977.195,13
233,928,245.210,987.138,13
234,925,369.103,1002.393,13
235,588,982.383,999.903,13
236,1026,859.119,75.941,14
237,337,987.794,138.883,14
238,816,1210.670,303.956,14
239,482,690.859,431.237,14
240,987,87.953,503.075,14
241,307,72.819,515.705,14
242,1565,220.758,547.055,14
243,817,640.196,575.184,14
244,636,1128.733,582.053,14
245,941,550.118,697.549,14
246,589,1011.658,791.507,14
247,1281,378.883,830.077,14
248,997,91.876,875.973,14
249,333,1256.350,896.641,14
250,499,1239.290,914.853,14
251,743,271.801,941.814,14
252,520,641.565,961.094,14
253,570,1343.488,991.089,14
254,554,992.047,1011.410,14
255,353,1369.103,996.820,14
256,1397,393.891,1016.670,14
257,553,1015.703,1011.773,14
258,1009,902.549,89.111,15
259,544,1009.478,111.930,15
260,912,1167.740,313.338,15
261,548,1144.943,339.591,15
262,948,705.090,430.628,15
263,513,238.812,461.937,15
264,1193,79.290,524.657,15
265,1455,225.950,535.595,15
266,660,646.814,580.877,15
267,967,1083.179,712.718,15
268,1008,530.940,707.744,15
269,803,1055.149,727.494,15
270,370,1014.881,792.351,15
271,1057,340.818,825.395,15
272,951,91.591,873.654,15
273,644,1262.489,898.325,15
274,613,302.810,924.337,15
275,351,286.033,939.979,15
276,553,642.688,961.484,15
277,935,421.066,1022.713,15
