id,from,to,from_frame,to_frame
306,438,462,21,22
307,416,438,20,21
308,391,416,19,20
309,370,391,18,19
310,345,370,17,18
311,320,345,16,17
312,295,320,15,16
313,270,295,14,15
314,248,270,13,14
315,224,248,12,13
316,201,224,11,12
317,181,201,10,11
318,157,181,9,10
319,133,157,8,9
320,110,133,7,8
321,88,110,6,7
322,62,88,5,6
323,38,62,4,5
324,16,38,3,4
325,1884,1918,72,73
326,1848,1884,71,72
327,1818,1848,70,71
328,1788,1818,69,70
329,1759,1788,68,69
330,1729,1759,67,68
331,1699,1729,66,67
332,1667,1699,65,66
333,1635,1667,64,65
334,1603,1635,63,64
335,1567,1603,62,63
336,1537,1567,61,62
337,1508,1537,60,61
338,1479,1508,59,60
339,1448,1479,58,59
340,1416,1448,57,58
341,1388,1416,56,57
342,1358,1388,55,56
343,1331,1358,54,55
344,1299,1331,53,54
345,1269,1299,52,53
346,1240,1269,51,52
347,1210,1240,50,51
348,1182,1210,49,50
349,1151,1182,48,49
350,1117,1151,47,48
351,1087,1117,46,47
352,1057,1087,45,46
353,1024,1057,44,45
354,997,1024,43,44
355,965,997,42,43
356,937,965,41,42
357,910,937,40,41
358,881,910,39,40
359,856,881,38,39
360,831,856,37,38
361,806,831,36,37
362,782,806,35,36
363,755,782,34,35
364,725,755,33,34
365,698,725,32,33
366,670,698,31,32
367,642,670,30,31
368,618,642,29,30
369,590,618,28,29
370,565,590,27,28
371,537,565,26,27
372,512,537,25,26
373,487,512,24,25
374,464,487,23,24
375,441,464,22,23
376,420,441,21,22
377,396,420,20,21
378,373,396,19,20
379,347,373,18,19
380,323,347,17,18
381,299,323,16,17
382,275,299,15,16
383,252,275,14,15
384,228,252,13,14
385,206,228,12,13
386,186,206,11,12
387,161,186,10,11
388,137,161,9,10
389,113,137,8,9
390,92,113,7,8
391,67,92,6,7
392,42,67,5,6
393,18,42,4,5
394,1506,1540,60,61
395,1477,1506,59,60
396,1447,1477,58,59
397,1417,1447,57,58
398,1390,1417,56,57
399,1359,1390,55,56
400,1333,1359,54,55
401,1302,1333,53,54
402,1271,1302,52,53
403,1243,1271,51,52
404,1214,1243,50,51
405,1187,1214,49,50
406,1156,1187,48,49
407,1123,1156,47,48
408,1093,1123,46,47
409,1063,1093,45,46
410,1032,1063,44,45
411,1002,1032,43,44
412,972,1002,42,43
413,944,972,41,42
414,916,944,40,41
415,890,916,39,40
416,864,890,38,39
417,838,864,37,38
418,813,838,36,37
419,788,813,35,36
420,759,788,34,35
421,730,759,33,34
422,700,730,32,33
423,674,700,31,32
424,646,674,30,31
425,622,646,29,30
426,596,622,28,29
427,570,596,27,28
428,543,570,26,27
429,518,543,25,26
430,492,518,24,25
431,472,492,23,24
432,446,472,22,23
433,423,446,21,22
434,401,423,20,21
435,377,401,19,20
436,352,377,18,19
437,329,352,17,18
438,303,329,16,17
439,279,303,15,16
440,254,279,14,15
441,230,254,13,14
442,209,230,12,13
443,188,209,11,12
444,163,188,10,11
445,139,163,9,10
446,114,139,8,9
447,93,114,7,8
448,68,93,6,7
449,43,68,5,6
450,19,43,4,5
451,300,325,16,17
452,276,300,15,16
453,253,276,14,15
454,229,253,13,14
455,207,229,12,13
456,187,207,11,12
457,162,187,10,11
458,138,162,9,10
459,115,138,8,9
460,94,115,7,8
461,69,94,6,7
462,44,69,5,6
463,20,44,4,5
464,210,235,12,13
465,190,210,11,12
466,167,190,10,11
467,142,167,9,10
468,117,142,8,9
469,96,117,7,8
470,72,96,6,7
471,47,72,5,6
472,23,47,4,5
473,1893,1928,72,73
474,1858,1893,71,72
475,1827,1858,70,71
476,1797,1827,69,70
477,1767,1797,68,69
478,1737,1767,67,68
479,1708,1737,66,67
480,1674,1708,65,66
481,1641,1674,64,65
482,1610,1641,63,64
483,1573,1610,62,63
484,1544,1573,61,62
485,1513,1544,60,61
486,1484,1513,59,60
487,1456,1484,58,59
