ID,Area,XM,YM,Slice
1415,412,473.160,67.189,57
1416,1079,306.146,108.515,57
1417,2074,870.167,128.066,57
1418,939,495.676,115.684,57
1419,1467,362.918,196.596,57
1420,2353,693.438,226.406,57
1421,1194,17.963,255.345,57
1422,416,829.591,290.959,57
1423,1864,563.509,317.832,57
1424,362,834.260,309.028,57
1425,1624,999.887,332.486,57
1426,1679,659.447,343.003,57
1427,1217,354.795,342.037,57
1428,2249,306.216,714.610,57
1429,1441,576.068,708.702,57
1430,1577,456.087,724.022,57
1431,1380,875.512,762.433,57
1432,838,1253.658,775.721,57
1433,440,1073.109,856.884,57
1434,1597,577.568,869.957,57
1435,1071,1308.232,883.281,57
1436,1767,404.681,897.952,57
1437,881,803.674,915.174,57
1438,1022,1350.368,957.811,57
1439,1131,1173.073,969.504,57
1440,1688,796.762,989.677,57
1441,474,1371.895,1025.633,57
1442,561,1331.958,1034.045,57
1443,2586,106.747,45.637,58
1444,322,337.543,6.593,58
1445,1381,628.563,20.081,58
1446,326,1078.552,78.423,58
1447,2449,870.803,118.526,58
1448,1270,303.002,110.789,58
1449,914,496.096,110.438,58
1450,1454,360.063,201.691,58
1451,1213,697.056,224.395,58
1452,362,540.351,243.936,58
1453,1455,22.887,275.417,58
1454,352,831.105,294.665,58
1455,2054,566.249,325.535,58
1456,1842,665.877,331.270,58
1457,1538,992.862,343.397,58
1458,1297,358.115,343.722,58
1459,2147,293.524,719.027,58
1460,1556,575.218,706.600,58
1461,1456,447.161,726.323,58
1462,1407,1259.632,759.864,58
1463,1388,874.139,751.460,58
1464,2116,401.443,891.414,58
1465,1417,570.812,864.590,58
1466,431,1073.936,856.581,58
1467,306,1086.676,878.899,58
1468,992,1292.595,888.009,58
1469,2049,802.945,921.563,58
1470,1278,1354.511,948.890,58
1471,991,1177.888,970.298,58
1472,1402,792.888,985.719,58
1473,445,1358.752,1009.725,58
1474,1411,1352.058,1030.078,58
1475,2200,92.804,32.700,59
1476,1436,641.389,12.054,59
1477,2489,871.356,102.534,59
1478,307,1076.415,76.419,59
1479,1447,299.890,109.917,59
1480,1505,497.202,109.720,59
1481,1626,359.298,206.540,59
1482,979,687.754,218.796,59
1483,1205,24.223,301.126,59
1484,1950,667.986,327.354,59
1485,1903,569.878,329.917,59
1486,1333,363.165,344.237,59
1487,1494,992.348,355.207,59
1488,419,10.681,354.173,59
1489,1897,288.004,716.425,59
1490,823,598.867,692.145,59
1491,1384,442.524,727.355,59
1492,1496,1262.265,746.116,59
1493,1109,875.207,743.285,59
1494,1055,572.162,858.456,59
1495,368,1073.641,857.970,59
1496,1492,395.556,888.076,59
1497,1301,1283.707,899.085,59
1498,1871,802.982,926.479,59
1499,1202,1362.533,944.860,59
1500,1053,1182.044,968.519,59
1501,1600,785.569,982.284,59
1502,1797,1344.165,1028.358,59
1503,320,350.972,5.303,60
1504,1096,659.129,9.068,60
1505,1993,80.514,30.027,60
1506,2250,879.197,98.361,60
1507,1905,499.894,110.029,60
1508,1519,297.324,108.038,60
1509,395,1384.287,114.829,60
1510,685,694.507,202.894,60
1511,1598,362.977,212.630,60
1512,780,682.699,240.613,60
1513,2004,675.948,317.156,60
1514,1635,29.699,313.358,60
1515,2445,571.635,334.108,60
1516,1528,369.115,341.471,60
1517,1340,992.547,375.216,60
1518,384,8.492,375.164,60
1519,824,609.876,684.920,60
1520,2371,274.223,726.190,60
1521,1718,436.513,723.960,60
1522,1671,1258.335,735.915,60
1523,808,883.278,744.145,60
1524,1048,567.831,855.944,60
1525,305,1073.320,861.920,60
1526,1595,392.311,889.372,60
1527,445,776.131,904.644,60
1528,1428,1281.601,911.209,60
1529,1425,805.055,937.520,60
1530,1685,1356.618,939.950,60
1531,1372,1192.890,955.172,60
1532,1713,781.113,982.278,60
1533,561,1322.053,992.097,60
1534,2190,1348.115,1024.055,60
1535,1742,79.111,26.152,61
1536,1865,872.104,90.808,61
1537,1481,297.568,105.852,61
1538,1934,507.006,114.283,61
1539,977,1378.775,120.175,61
1540,367,918.356,140.495,61
1541,1527,698.492,199.874,61
1542,1494,363.574,217.762,61
1543,1534,678.065,252.908,61
1544,1435,685.461,314.207,61
1545,2893,569.643,331.037,61
1546,1470,370.574,346.186,61
1547,1058,21.473,343.268,61
1548,1315,990.240,386.779,61
1549,700,16.127,400.359,61
1550,970,617.465,685.939,61
1551,1436,268.989,716.462,61
1552,1561,432.387,725.754,61
1553,1979,1251.923,720.006,61
1554,788,885.336,743.593,61
1555,1271,566.392,852.893,61
1556,1463,388.954,885.441,61
1557,1219,1277.994,914.064,61
1558,2066,795.525,927.804,61
1559,1588,1356.552,929.355,61
1560,1222,1195.036,955.810,61
1561,1591,770.827,977.712,61
1562,2889,1345.433,1020.872,61
1563,2033,78.112,25.053,62
1564,354,355.328,5.150,62
1565,2249,891.724,103.516,62
1566,1075,486.533,101.018,62
1567,1694,294.434,103.871,62
1568,977,1368.160,126.067,62
1569,1514,712.562,192.479,62
1570,1447,371.049,227.470,62
1571,1245,681.024,241.282,62
1572,332,433.000,311.160,62
1573,1555,699.016,319.135,62
1574,3070,562.420,332.922,62
1575,1426,371.154,348.054,62
1576,1396,25.393,367.069,62
1577,1092,985.015,398.349,62
1578,802,17.294,424.116,62
1579,442,262.009,666.430,62
1580,949,631.954,679.614,62
1581,805,260.511,714.386,62
1582,2087,1246.688,711.310,62
1583,1468,431.447,725.883,62
1584,508,279.754,725.719,62
1585,909,885.188,742.614,62
1586,2605,378.584,876.878,62
1587,1298,562.794,852.466,62
1588,399,1071.239,864.387,62
1589,1189,1283.736,910.329,62
1590,1340,785.082,921.335,62
1591,1344,1360.401,922.310,62
1592,344,351.256,920.738,62
1593,1181,1195.977,950.481,62
1594,356,806.750,956.017,62
1595,1669,763.358,979.927,62
1596,3472,1344.211,1014.291,62
1597,773,968.914,1032.302,62
1598,2248,80.590,24.886,63
1599,365,365.475,5.289,63
1600,2017,888.169,93.329,63
1601,621,1168.849,70.429,63
1602,1214,483.850,95.044,63
1603,1360,302.298,101.634,63
1604,830,1364.653,129.790,63
1605,1027,741.074,177.767,63
1606,1431,678.445,218.835,63
1607,1980,381.145,236.540,63
1608,322,830.807,297.422,63
1609,2280,387.384,339.588,63
1610,1717,711.551,328.642,63
1611,2503,565.395,337.669,63
1612,1397,25.240,404.766,63
1613,1033,980.004,411.886,63
1614,864,18.411,455.359,63
1615,756,641.038,671.261,63
1616,1799,1249.711,702.687,63
1617,1381,265.330,723.235,63
1618,1515,887.217,738.195,63
1619,1224,432.667,728.546,63
1620,2712,371.792,878.972,63
1621,1310,561.673,850.901,63
1622,306,1071.670,864.085,63
1623,924,1293.453,908.066,63
1624,1379,1359.259,910.689,63
1625,1125,792.632,933.243,63
1626,1792,1187.970,953.070,63
1627,1853,754.507,977.897,63
1628,2886,1351.812,1011.262,63
1629,1190,961.030,1028.768,63
1630,2211,83.010,28.317,64
1631,310,375.039,5.177,64
1632,1972,890.280,90.878,64
1633,549,1176.515,70.367,64
1634,1463,479.240,91.780,64
1635,1176,309.342,96.539,64
1636,947,1361.746,132.007,64
1637,1645,754.274,166.977,64
1638,1078,676.367,192.643,64
1639,2447,381.248,243.647,64
1640,300,831.620,298.943,64
1641,1670,725.330,327.001,64
1642,2444,554.572,334.501,64
1643,1635,376.858,347.096,64
1644,1831,35.641,426.231,64
1645,941,983.127,417.653,64
1646,527,14.278,485.308,64
1647,819,646.101,670.423,64
1648,1546,1249.420,699.403,64
1649,1908,884.234,741.094,64
1650,1346,266.731,720.271,64
1651,1544,431.940,727.679,64
1652,330,371.242,830.148,64
1653,2479,366.359,883.545,64
1654,1489,556.072,852.121,64
1655,328,1074.265,866.457,64
1656,1203,1303.931,896.512,64
1657,1020,1363.190,895.695,64
1658,1120,792.053,936.719,64
1659,2150,1162.485,983.188,64
1660,1736,750.184,981.445,64
1661,2865,1355.454,1007.189,64
1662,1311,960.212,1028.366,64
1663,2109,88.998,30.494,65
1664,373,1189.773,56.661,65
1665,2021,893.534,95.647,65
