from,to,name,nationality,importance
1508,1580,Andrea Palladio,Italy,2
1887,1965,Le Corbusier,France,1
1841,1918,Otto Wagner,Austria,2
1852,1926,Gaudi,Spain,1
1913,2005,Kenzo Tange,Japan,2
1966,2050,Ryue Nishizawa,Japan,2
1883,1969,Walter Gropius,Germany,1
1886,1969,van der Rohe,Germany,1
1867,1959,Frank Lloyd Wright,USA,1
